structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
3,28,18.0,66.0,24.0,7.0,2.2,0.8,0.0,2,0.8,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,22,0.7272727272727273,795.7581929815569,2.6692303656076932,0.02577664000000006,7.587798095106034
4,18,22.0,62.0,24.0,7.4,2.2,1.2,0.0,2,0.8,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,19,0.631578947368421,695.5517173267017,2.130165219039593,0.02804517702543111,6.199115045382227
4,22,10.0,64.0,16.0,7.4,2.2,1.0,0.0,4,0.6,1.0,8.4,1,risk_based,C,1.0,100.0,10000.0,22,0.5909090909090909,515.0170303299474,2.204236438341181,0.017892216000000103,6.196176895375946
3,16,14.0,66.0,22.0,7.2,2.2,0.8,0.0,4,0.4,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,24,0.6666666666666666,388.8342432612171,2.078892149712856,0.01985247942400005,5.967061104414929
4,22,22.0,58.0,22.0,6.8,2.2,1.2,0.05,5,1.0,0.8,8.4,1,risk_based,C,1.0,100.0,10000.0,20,0.6,555.2164719640496,1.9337288825848178,0.02577664000000006,5.645344317133684
4,22,24.0,66.0,20.0,8.0,2.2,0.8,0.1,2,0.6,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,27,0.6666666666666666,528.3347608109052,1.7446169662608535,0.028045177025431075,5.4734331622563195
4,28,16.0,64.0,18.0,7.8,2.2,1.0,0.1,4,1.0,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,23,0.6086956521739131,531.2383372198292,1.808253706026606,0.028045177025431158,5.4366536964576175
4,30,18.0,60.0,20.0,7.0,1.8,1.2,0.0,4,0.4,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,22,0.6363636363636364,474.97590606825906,1.7578130181090024,0.023808512000000136,5.313721860831718
4,30,14.0,56.0,24.0,6.8,2.0,0.8,0.1,2,0.6,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,26,0.6538461538461539,510.78164549050416,1.6701093656316879,0.028045177025431085,5.267634076446818
4,18,12.0,66.0,22.0,8.0,1.8,1.2,0.0,3,1.0,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,24,0.625,489.1871232412559,1.6841315485639263,0.02804517702543121,5.190814689292814
2,28,22.0,60.0,24.0,7.4,2.4,0.8,0.0,5,1.0,0.6,8.6,1,risk_based,C,1.0,100.0,10000.0,27,0.6296296296296297,471.9568888613376,1.6353352883785481,0.027713293840000083,5.143932028542878
3,28,14.0,62.0,16.0,7.8,2.2,1.2,0.0,2,0.8,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,22,0.5454545454545454,475.18538452806933,1.6831106518905017,0.030114593717659913,5.009244725337912
4,16,18.0,64.0,22.0,7.4,2.0,0.8,0.1,3,0.4,1.0,8.6,1,risk_based,C,1.0,100.0,10000.0,29,0.6896551724137931,264.08152597037224,1.5704530333538376,0.017904160000000086,4.965757871298736
3,20,20.0,56.0,18.0,7.2,2.2,0.8,0.05,4,0.4,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,28,0.5714285714285714,478.44848394539076,1.5884531373773734,0.046110680088899576,4.934165575576296
4,24,16.0,58.0,18.0,6.8,1.8,0.8,0.05,2,1.0,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,33,0.7272727272727273,302.2239502978082,1.4467458777336335,0.028045177025431092,4.8624892655978735
3,30,16.0,64.0,22.0,8.0,2.0,1.2,0.0,4,0.8,0.6,8.0,1,risk_based,C,1.0,100.0,10000.0,23,0.5217391304347826,374.2164449298816,1.650385920462004,0.023784862704000105,4.846242393394062
3,22,12.0,62.0,24.0,6.8,1.8,1.2,0.1,2,0.4,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,22,0.5909090909090909,364.01375308353636,1.5732722018642558,0.023808512000000014,4.765496257175684
4,24,20.0,58.0,16.0,7.2,2.4,0.8,0.05,5,0.8,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,27,0.6666666666666666,242.32078139683836,1.5164611148756368,0.018873899651917988,4.758621312192358
4,16,12.0,66.0,22.0,7.0,2.4,0.8,0.0,4,1.0,1.0,8.0,1,risk_based,C,1.0,100.0,10000.0,25,0.68,327.69775978413963,1.5081403810780845,0.039506615319346954,4.745458675982269
4,18,10.0,66.0,20.0,7.0,2.0,0.8,0.1,2,0.4,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,34,0.7058823529411765,288.2347747878557,1.4002145103091135,0.031544923197996975,4.732852555223856
