structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
3,20,20.0,56.0,18.0,7.2,2.2,0.8,0.05,4,0.4,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,26,0.6538461538461539,728.6743962759938,1.9367087552912654,0.050564027634459795,5.951169054724376
3,20,24.0,58.0,20.0,8.0,2.2,1.0,0.05,4,0.4,0.8,7.8,1,risk_based,C,1.0,100.0,10000.0,25,0.64,635.8760600123278,1.9733533346456926,0.03737604833772079,5.93045458429055
3,20,18.0,56.0,16.0,7.6,2.4,1.0,0.1,4,1.0,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,27,0.6296296296296297,728.6339216518427,1.8894719081291749,0.044617018240790195,5.858171127632267
4,18,14.0,58.0,18.0,7.6,1.8,0.8,0.0,5,1.0,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,26,0.6153846153846154,775.0875831385056,1.7756705369791246,0.037310311235959896,5.6575746464657986
4,20,16.0,58.0,18.0,7.4,1.8,0.8,0.1,4,1.0,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,27,0.6296296296296297,694.9356442271965,1.7241922353132928,0.03318221566129735,5.528217912314334
3,28,18.0,66.0,24.0,7.0,2.2,0.8,0.0,2,0.8,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,26,0.6538461538461539,546.374820545403,1.791813320395507,0.04820439615411096,5.486157503643316
3,30,10.0,60.0,20.0,8.0,2.4,1.0,0.1,3,1.0,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,23,0.6521739130434783,560.8359036427737,1.7929130220658225,0.0472688435269881,5.443116286758673
2,24,12.0,56.0,24.0,7.0,2.2,1.0,0.1,3,0.8,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,23,0.5652173913043478,557.6154620916095,1.8471462687686333,0.043361989127306995,5.429648119203477
3,24,24.0,58.0,22.0,7.6,2.4,1.0,0.05,5,1.0,1.0,8.0,1,risk_based,C,1.0,100.0,10000.0,26,0.6153846153846154,625.0842898643132,1.6981970236102972,0.04446177320155821,5.331169940557157
3,28,16.0,56.0,16.0,7.8,2.4,1.0,0.05,5,1.0,0.6,7.8,1,risk_based,C,1.0,100.0,10000.0,27,0.6296296296296297,393.4503297346473,1.6806644379496163,0.033300299894216935,5.1393227503956735
3,30,24.0,58.0,22.0,6.8,2.0,1.0,0.0,5,0.8,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,27,0.5925925925925926,511.9962068303157,1.6135266823824634,0.033132282207473635,5.0685416138617105
4,22,22.0,60.0,20.0,8.0,1.8,1.0,0.05,5,0.8,0.6,7.8,1,risk_based,C,1.0,100.0,10000.0,26,0.6153846153846154,388.0862429183926,1.6354896852248588,0.024111846264699362,5.029806997650935
4,22,18.0,56.0,22.0,6.8,2.0,1.0,0.05,2,0.8,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,27,0.6666666666666666,491.82253270205547,1.5575710924122348,0.04407073747538021,5.014752505100384
4,24,22.0,60.0,24.0,7.6,2.4,1.0,0.0,2,1.0,1.0,8.6,1,risk_based,C,1.0,100.0,10000.0,23,0.6086956521739131,520.3425934452916,1.5906598564161132,0.04478013061455389,4.9403653926947255
3,28,20.0,58.0,18.0,7.6,2.4,0.8,0.0,2,0.6,0.8,8.4,1,risk_based,C,1.0,100.0,10000.0,28,0.6785714285714286,310.39824462678007,1.5662637934289305,0.03895202781858608,4.9039268908860265
3,22,22.0,66.0,18.0,7.2,2.2,1.0,0.1,4,1.0,1.0,8.2,1,risk_based,C,1.0,100.0,10000.0,29,0.5862068965517241,522.4867537518403,1.4961308942766487,0.07004510168105055,4.763923582089572
3,24,20.0,64.0,22.0,7.8,1.8,1.0,0.1,5,0.8,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,27,0.5925925925925926,402.60811557945635,1.4669915904666246,0.03584446770531128,4.657946782285661
3,20,10.0,64.0,20.0,7.4,1.8,0.8,0.05,4,0.6,0.6,8.0,1,risk_based,C,1.0,100.0,10000.0,28,0.6428571428571429,284.92771676391567,1.4750315237724463,0.03506408845795807,4.6540842132206475
3,30,16.0,64.0,22.0,8.0,2.0,1.2,0.0,4,0.8,0.6,8.0,1,risk_based,C,1.0,100.0,10000.0,26,0.5,393.8808248300884,1.5205465847324295,0.03542687572003263,4.5986933671348496
3,16,14.0,66.0,22.0,7.2,2.2,0.8,0.0,4,0.4,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,24,0.625,211.90739166700223,1.5235171803042076,0.02923669125302393,4.588731678516345
3,24,20.0,56.0,22.0,8.0,1.8,1.2,0.1,5,1.0,0.6,8.0,1,risk_based,C,1.0,100.0,10000.0,25,0.56,316.4666670638235,1.4992304150413365,0.03131173064401246,4.560992305214459
3,26,20.0,62.0,20.0,8.0,2.4,1.0,0.0,5,0.4,0.6,8.2,1,risk_based,C,1.0,100.0,10000.0,26,0.5769230769230769,236.74642354785829,1.4649689740754297,0.03226031117279383,4.455288053564951
4,30,18.0,56.0,16.0,7.8,2.4,1.0,0.0,2,0.8,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,25,0.6,334.3323132024743,1.4213305814787531,0.04474145782439177,4.442769102686805
3,30,10.0,62.0,20.0,7.8,2.4,1.2,0.0,5,0.6,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,25,0.52,349.9868266405665,1.4805416918024827,0.05149526045417551,4.436584428883005
4,18,14.0,60.0,22.0,7.8,2.4,1.0,0.1,5,0.4,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,24,0.625,346.28408318760376,1.3909108509819366,0.04431679587296277,4.412655397532589
2,30,18.0,66.0,24.0,8.0,2.2,0.8,0.0,4,0.6,1.0,8.0,1,risk_based,C,1.0,100.0,10000.0,25,0.6,307.90801456250847,1.3905356533071116,0.054806054743249656,4.324561156946983
4,30,18.0,58.0,24.0,7.4,2.4,0.8,0.05,4,1.0,1.0,8.2,1,risk_based,C,1.0,100.0,10000.0,24,0.625,309.9583041752394,1.3505035356975683,0.04454846324375825,4.294819985839101
2,16,20.0,56.0,20.0,7.2,2.2,1.0,0.0,3,1.0,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,24,0.5833333333333334,242.25980793126473,1.3459717986775206,0.0435822453924,4.158456669109106
4,20,18.0,62.0,24.0,8.0,1.8,1.0,0.05,3,1.0,1.0,8.4,1,risk_based,C,1.0,100.0,10000.0,25,0.6,281.73612713804505,1.2862431145349342,0.03789390143962558,4.140540651889037
4,16,12.0,66.0,22.0,7.0,2.4,0.8,0.0,4,1.0,1.0,8.0,1,risk_based,C,1.0,100.0,10000.0,26,0.5769230769230769,310.98777583573246,1.2876451369034547,0.05433232930840831,4.1086656771020325
4,24,20.0,58.0,16.0,7.2,2.4,0.8,0.05,5,0.8,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,26,0.6153846153846154,213.4302554181977,1.2834817102629712,0.04000240300911187,4.103463389993728
2,28,22.0,60.0,24.0,7.4,2.4,0.8,0.0,5,1.0,0.6,8.6,1,risk_based,C,1.0,100.0,10000.0,25,0.6,222.10024927978702,1.3024199271745196,0.04950912976858874,4.0784127143230595
4,24,16.0,58.0,18.0,6.8,1.8,0.8,0.05,2,1.0,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,32,0.625,232.82542355627447,1.1995356646102364,0.054515885036288084,4.045849097667883
3,26,16.0,66.0,16.0,6.8,2.0,1.0,0.0,3,0.4,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,27,0.5555555555555556,171.6820785370328,1.282375298622247,0.02762934380828688,4.02687797769
4,18,22.0,62.0,24.0,7.4,2.2,1.2,0.0,2,0.8,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,25,0.52,338.1480821708028,1.2908339237173896,0.06173147027657699,4.014621518775851
2,28,20.0,66.0,22.0,7.8,2.0,1.0,0.0,4,1.0,1.2,8.4,1,risk_based,C,1.0,100.0,10000.0,27,0.48148148148148145,325.1576236933179,1.2863623284307897,0.06237927417680525,3.972966680246704
2,16,20.0,56.0,24.0,7.0,2.2,1.2,0.05,3,0.6,1.2,8.0,1,risk_based,C,1.0,100.0,10000.0,21,0.47619047619047616,272.3446602288859,1.3182487629792938,0.05918100723627837,3.8655848787643525
