structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
4,22,10.0,64.0,16.0,7.4,2.2,1.0,0.0,4,0.6,1.0,8.4,1,risk_based,C,1.0,100.0,10000.0,24,0.7916666666666666,860.7728686025039,3.7919319118957344,0.017892216000000093,10.058460044393973
4,28,16.0,64.0,18.0,7.8,2.2,1.0,0.1,4,1.0,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,25,0.76,1318.2794198195807,3.433081877678754,0.02981437711527296,9.73500004383127
3,26,14.0,60.0,20.0,7.0,2.2,1.2,0.1,2,0.6,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,27,0.7407407407407407,1239.6109161348486,3.371130046886343,0.01593599999999992,9.585174121018646
3,30,10.0,60.0,20.0,8.0,2.4,1.0,0.1,3,1.0,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,24,0.7916666666666666,1228.5600834055713,3.358354811931417,0.01739643513353715,9.560580401867794
3,30,24.0,58.0,22.0,6.8,2.0,1.0,0.0,5,0.8,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,27,0.7407407407407407,1126.0206946324379,3.331989437670098,0.020486602129649166,9.379650874694796
3,20,24.0,58.0,20.0,8.0,2.2,1.0,0.05,4,0.4,0.8,7.8,1,risk_based,C,1.0,100.0,10000.0,26,0.6923076923076923,1169.9386014463525,3.311754311240339,0.021798145917540954,9.286514324635945
3,24,20.0,64.0,22.0,7.8,1.8,1.0,0.1,5,0.8,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,29,0.7586206896551724,1019.1652781505654,3.183914989033576,0.010693509449491968,9.072845762352
3,22,22.0,66.0,18.0,7.2,2.2,1.0,0.1,4,1.0,1.0,8.2,1,risk_based,C,1.0,100.0,10000.0,29,0.7241379310344828,1256.7608825226398,3.086494554985449,0.02242139482731445,9.028692704563317
3,16,14.0,66.0,22.0,7.2,2.2,0.8,0.0,4,0.4,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,28,0.8571428571428571,431.8708451834045,3.3457747491327345,0.009976000000000006,8.93920662916316
4,22,22.0,58.0,22.0,6.8,2.2,1.2,0.05,5,1.0,0.8,8.4,1,risk_based,C,1.0,100.0,10000.0,25,0.64,1553.6095309824923,2.9348903677906635,0.035747421347156604,8.77614800252235
3,26,20.0,62.0,20.0,8.0,2.4,1.0,0.0,5,0.4,0.6,8.2,1,risk_based,C,1.0,100.0,10000.0,25,0.76,533.0539930707364,3.244287738995135,0.007984000000000005,8.637677471061007
2,28,22.0,60.0,24.0,7.4,2.4,0.8,0.0,5,1.0,0.6,8.6,1,risk_based,C,1.0,100.0,10000.0,35,0.7428571428571429,1223.8674109759013,2.774894663428866,0.015939999999999902,8.540122452119347
3,20,18.0,56.0,16.0,7.6,2.4,1.0,0.1,4,1.0,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,23,0.6956521739130435,1022.5987106844168,3.0034670368792042,0.02818234504446417,8.448464010178997
3,28,14.0,62.0,16.0,7.8,2.2,1.2,0.0,2,0.8,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,27,0.7407407407407407,1004.4959746653494,2.904462820559393,0.01903011702111459,8.407442375831904
3,30,10.0,62.0,20.0,7.8,2.4,1.2,0.0,5,0.6,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,24,0.75,745.4340363657102,3.0065161318984885,0.011964000000000113,8.327574300162686
3,26,16.0,66.0,16.0,6.8,2.0,1.0,0.0,3,0.4,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,27,0.7777777777777778,487.58737963287604,3.078121215681757,0.011103119885310498,8.317187118007125
3,28,20.0,58.0,18.0,7.6,2.4,0.8,0.0,2,0.6,0.8,8.4,1,risk_based,C,1.0,100.0,10000.0,25,0.8,548.1233187156031,3.035350995747383,0.009335920957527102,8.290817547337788
3,20,24.0,62.0,20.0,8.0,2.0,1.2,0.05,5,0.6,1.0,8.4,1,risk_based,C,1.0,100.0,10000.0,29,0.7241379310344828,801.7473414169181,2.919634903808545,0.012725464326378758,8.269047652606595
4,22,22.0,60.0,20.0,8.0,1.8,1.0,0.05,5,0.8,0.6,7.8,1,risk_based,C,1.0,100.0,10000.0,27,0.7407407407407407,754.2627958764606,2.943091916288474,0.013784045472711415,8.250205603146386
3,28,18.0,66.0,24.0,7.0,2.2,0.8,0.0,2,0.8,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,26,0.8076923076923077,808.7179712407924,2.8717117668651975,0.01792000000000008,8.229919966509648
4,22,24.0,66.0,20.0,8.0,2.2,0.8,0.1,2,0.6,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,27,0.7037037037037037,1128.3124497116605,2.708568262844927,0.029814377115273044,8.051561399611252
3,24,24.0,58.0,22.0,7.6,2.4,1.0,0.05,5,1.0,1.0,8.0,1,risk_based,C,1.0,100.0,10000.0,24,0.6666666666666666,1063.6823253664388,2.743044172569896,0.025696044109686345,7.9526825381771715
3,16,14.0,60.0,16.0,6.8,2.2,1.2,0.0,5,0.4,0.6,8.6,1,risk_based,C,1.0,100.0,10000.0,27,0.7407407407407407,519.5293437219807,2.8801187989840207,0.011103119885310283,7.897568693145202
3,30,16.0,64.0,22.0,8.0,2.0,1.2,0.0,4,0.8,0.6,8.0,1,risk_based,C,1.0,100.0,10000.0,27,0.7407407407407407,744.8036591484652,2.7329095900328477,0.017892216000000082,7.80805730232527
4,22,12.0,62.0,18.0,8.0,2.4,1.2,0.1,4,1.0,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,24,0.75,1014.3953698501864,2.620465566646121,0.02775943170100016,7.777048208039428
3,20,10.0,64.0,20.0,7.4,1.8,0.8,0.05,4,0.6,0.6,8.0,1,risk_based,C,1.0,100.0,10000.0,30,0.8333333333333334,523.0730132943918,2.7049621367489873,0.011469981999999967,7.7485873407923656
4,30,18.0,56.0,16.0,7.8,2.4,1.0,0.0,2,0.8,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,23,0.7391304347826086,782.2094450679742,2.707779946073351,0.028322709312611972,7.6814968614507535
4,22,18.0,56.0,22.0,6.8,2.0,1.0,0.05,2,0.8,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,25,0.68,1005.1902715060714,2.4593206282236744,0.035747421347156284,7.336589263911952
3,22,12.0,62.0,24.0,6.8,1.8,1.2,0.1,2,0.4,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,28,0.75,812.3919792156812,2.414761524259935,0.016877840732456857,7.276281505538181
