structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
4,22,22.0,58.0,22.0,6.8,2.2,1.2,0.05,5,1.0,0.8,8.4,1,risk_based,C,1.0,100.0,10000.0,18,0.7222222222222222,1372.863700337568,4.375736598703429,0.017919999999999946,11.513910231077759
3,26,14.0,60.0,20.0,7.0,2.2,1.2,0.1,2,0.6,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,16,0.6875,1012.3906253346722,3.747238265573759,0.01593599999999987,9.810309156482191
4,18,22.0,62.0,24.0,7.4,2.2,1.2,0.0,2,0.8,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,18,0.6111111111111112,1261.7635194575341,3.147374646337639,0.02046565260408133,8.771782520987234
3,28,14.0,62.0,16.0,7.8,2.2,1.2,0.0,2,0.8,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,16,0.625,919.6400687104287,3.1412265307175993,0.019472651177112776,8.40117517661429
3,16,14.0,60.0,16.0,6.8,2.2,1.2,0.0,5,0.4,0.6,8.6,1,risk_based,C,1.0,100.0,10000.0,16,0.6875,549.532345314763,3.2112822300130874,0.00997600000000012,8.293418805340938
4,22,12.0,62.0,18.0,8.0,2.4,1.2,0.1,4,1.0,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,15,0.6666666666666666,861.1061968671875,3.043396153962645,0.01989999999999997,8.188198504792478
2,18,10.0,56.0,18.0,7.0,1.8,1.2,0.0,3,0.6,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,24,0.625,1337.6197010904598,2.752478644059141,0.029119390936681287,8.172718816398698
4,22,10.0,64.0,16.0,7.4,2.2,1.0,0.0,4,0.6,1.0,8.4,1,risk_based,C,1.0,100.0,10000.0,20,0.7,666.9882129654816,2.6427018937980593,0.015940000000000055,7.354572000561601
2,26,20.0,64.0,20.0,8.0,1.8,1.2,0.05,2,1.0,0.6,8.6,1,risk_based,C,1.0,100.0,10000.0,28,0.6071428571428571,1046.7416326078128,2.3572866344439514,0.025554519841682635,7.155365627684954
4,16,12.0,66.0,22.0,7.0,2.4,0.8,0.0,4,1.0,1.0,8.0,1,risk_based,C,1.0,100.0,10000.0,22,0.7727272727272727,648.5472658151521,2.386384503764521,0.019899999999999984,6.960707182435103
2,22,14.0,60.0,18.0,6.8,1.8,0.8,0.05,4,1.0,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,37,0.7567567567567568,751.3282909963309,2.0953387683240132,0.02299732094820777,6.74814899993487
4,24,18.0,66.0,22.0,7.2,2.4,1.2,0.05,3,0.6,1.2,8.4,1,risk_based,C,1.0,100.0,10000.0,15,0.6666666666666666,547.6571947510402,2.4574150431788158,0.015939999999999944,6.714667281108672
4,28,16.0,64.0,18.0,7.8,2.2,1.0,0.1,4,1.0,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,20,0.7,678.938316125561,2.27335809492563,0.03669175466475489,6.565579241982556
2,28,24.0,62.0,18.0,7.0,1.8,0.8,0.05,3,0.6,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,41,0.7560975609756098,809.1652789162872,1.928265607517426,0.030185170455549092,6.529287324047907
2,18,16.0,66.0,20.0,7.0,1.8,1.0,0.0,2,1.0,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,30,0.6333333333333333,903.220392549747,2.0497015486687884,0.02561393517878199,6.475781684350977
4,18,12.0,66.0,22.0,8.0,1.8,1.2,0.0,3,1.0,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,24,0.5833333333333334,909.9357748913699,2.1343199384849805,0.02217108551745192,6.467062395308975
3,30,10.0,62.0,20.0,7.8,2.4,1.2,0.0,5,0.6,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,16,0.625,458.0917822291194,2.3024441938877738,0.017368337326040366,6.268375158026546
2,30,22.0,64.0,16.0,6.8,1.8,1.2,0.0,2,0.8,0.8,8.4,1,risk_based,C,1.0,100.0,10000.0,26,0.5769230769230769,764.4789721091656,1.9794152923404624,0.02555055892271371,6.032042495406564
2,24,16.0,60.0,20.0,7.2,1.8,0.8,0.0,3,1.0,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,28,0.6428571428571429,677.2490646160168,1.9035636523541126,0.021673045105369756,5.9436429482938475
4,18,14.0,58.0,18.0,7.6,1.8,0.8,0.0,5,1.0,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,25,0.76,473.07685800362015,1.8688457279614488,0.01990000000000004,5.791068313926517
4,18,14.0,60.0,22.0,7.8,2.4,1.0,0.1,5,0.4,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,19,0.6842105263157895,516.9289409451867,1.9865336771910767,0.03765410056419087,5.783349783108451
4,30,18.0,60.0,20.0,7.0,1.8,1.2,0.0,4,0.4,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,25,0.6,652.3282460135815,1.894714296201831,0.021688197632760392,5.776692245518962
4,24,22.0,60.0,24.0,7.6,2.4,1.0,0.0,2,1.0,1.0,8.6,1,risk_based,C,1.0,100.0,10000.0,20,0.6,591.6198571687491,1.935558678364162,0.020904279971624435,5.700024373982201
4,24,20.0,58.0,16.0,7.2,2.4,0.8,0.05,5,0.8,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,24,0.75,349.4984628105194,1.8827640125862202,0.02508192300750855,5.644780718960435
3,30,14.0,58.0,20.0,7.0,1.8,1.2,0.1,2,0.8,0.6,7.8,1,risk_based,C,1.0,100.0,10000.0,26,0.6538461538461539,462.28663938430327,1.8714295740068239,0.02660057592506443,5.626113290391988
3,24,20.0,56.0,22.0,8.0,1.8,1.2,0.1,5,1.0,0.6,8.0,1,risk_based,C,1.0,100.0,10000.0,22,0.5909090909090909,465.55723065937127,1.8897589049038879,0.027759833051873815,5.488159177675162
2,28,20.0,56.0,18.0,7.0,2.0,1.2,0.05,3,1.0,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,23,0.5217391304347826,715.8800649548539,1.8042998524524199,0.029119390936681318,5.479730292701824
3,20,24.0,58.0,20.0,8.0,2.2,1.0,0.05,4,0.4,0.8,7.8,1,risk_based,C,1.0,100.0,10000.0,24,0.6666666666666666,446.2431408248249,1.8062019569119676,0.0316426852060774,5.443718999030528
3,30,10.0,60.0,20.0,8.0,2.4,1.0,0.1,3,1.0,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,22,0.6818181818181818,448.961388212545,1.8041675418614318,0.0332537605691701,5.420262462955171
2,16,20.0,56.0,20.0,7.2,2.2,1.0,0.0,3,1.0,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,24,0.625,467.72774444179413,1.7215712782518298,0.01593600000000009,5.280562300945453
4,22,22.0,60.0,20.0,8.0,1.8,1.0,0.05,5,0.8,0.6,7.8,1,risk_based,C,1.0,100.0,10000.0,25,0.64,359.953313201273,1.735664919951538,0.024057283040709754,5.21911130398222
4,22,24.0,66.0,20.0,8.0,2.2,0.8,0.1,2,0.6,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,27,0.7407407407407407,396.46091724430335,1.5929625210487734,0.026077300242481834,5.155265169725516
2,16,16.0,66.0,18.0,7.2,1.8,1.2,0.05,2,0.6,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,26,0.5384615384615384,479.88182753858746,1.696050933244762,0.023055454623700827,5.1305096378493165
2,18,16.0,58.0,24.0,7.6,1.8,1.2,0.0,5,0.6,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,24,0.5,566.2762144392036,1.6896257847795744,0.024099791880084917,5.103228408358097
4,24,16.0,58.0,18.0,6.8,1.8,0.8,0.05,2,1.0,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,28,0.75,370.06332336486594,1.5754069727218918,0.03456048725601117,5.102195807040616
