structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
3,30,16.0,64.0,22.0,8.0,2.0,1.2,0.0,4,0.8,0.6,8.0,1,risk_based,C,1.0,100.0,10000.0,27,0.5555555555555556,607.7249504501906,1.8384362349746972,0.017997859370109275,5.60393717562259
2,16,20.0,64.0,22.0,7.8,2.2,0.8,0.1,4,0.4,1.2,8.4,1,risk_based,C,1.0,100.0,10000.0,33,0.5757575757575758,336.6765703027013,1.4975767244192295,0.021645670221335046,4.790529372113519
2,30,18.0,66.0,24.0,8.0,2.2,0.8,0.0,4,0.6,1.0,8.0,1,risk_based,C,1.0,100.0,10000.0,32,0.65625,426.61676545923,1.3927230171010554,0.03940398999999998,4.718225829661341
3,26,16.0,66.0,16.0,6.8,2.0,1.0,0.0,3,0.4,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,34,0.5,276.20646874910926,1.407021366657719,0.01993448085265136,4.460445759506594
4,30,14.0,56.0,24.0,6.8,2.0,0.8,0.1,2,0.6,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,19,0.631578947368421,259.3959229694374,1.3936313979081998,0.020012897525119772,4.313988447263109
4,22,22.0,58.0,22.0,6.8,2.2,1.2,0.05,5,1.0,0.8,8.4,1,risk_based,C,1.0,100.0,10000.0,14,0.5714285714285714,272.97305250057434,1.453123380542956,0.029611507298698818,4.2275281488332475
4,18,22.0,62.0,24.0,7.4,2.2,1.2,0.0,2,0.8,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,14,0.5714285714285714,271.0478097204559,1.4499820423254035,0.02970100000000014,4.21905175151412
4,30,18.0,58.0,24.0,7.4,2.4,0.8,0.05,4,1.0,1.0,8.2,1,risk_based,C,1.0,100.0,10000.0,19,0.631578947368421,252.43744888500441,1.3616558234009661,0.029701000000000012,4.214014516739568
3,30,24.0,58.0,22.0,6.8,2.0,1.0,0.0,5,0.8,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,29,0.6206896551724138,230.20530235095976,1.261144268985305,0.023994941145612167,4.191543499643354
3,22,12.0,62.0,24.0,6.8,1.8,1.2,0.1,2,0.4,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,26,0.5,323.56841455318863,1.3068948984666606,0.028715575644784674,4.1212114845521555
4,24,22.0,60.0,24.0,7.6,2.4,1.0,0.0,2,1.0,1.0,8.6,1,risk_based,C,1.0,100.0,10000.0,17,0.5882352941176471,248.16687870818168,1.353187504529683,0.01990000000000012,4.117194828944018
4,16,18.0,64.0,22.0,7.4,2.0,0.8,0.1,3,0.4,1.0,8.6,1,risk_based,C,1.0,100.0,10000.0,19,0.5789473684210527,120.38533560121687,1.3748827867808475,0.011952064000000043,4.082715769794491
2,20,20.0,56.0,22.0,6.8,2.4,0.8,0.1,3,1.0,0.8,7.8,1,risk_based,C,1.0,100.0,10000.0,32,0.59375,173.1554366674809,1.1681432571473143,0.03512956568853295,3.9346782538965104
2,28,20.0,66.0,22.0,7.8,2.0,1.0,0.0,4,1.0,1.2,8.4,1,risk_based,C,1.0,100.0,10000.0,31,0.5161290322580645,278.49348213335907,1.1914412490606447,0.05908088916083998,3.8783268611592256
4,18,14.0,60.0,22.0,7.8,2.4,1.0,0.1,5,0.4,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,19,0.5789473684210527,154.066143688191,1.1918418546289598,0.029700999999999988,3.6970679055776894
4,22,18.0,56.0,22.0,6.8,2.0,1.0,0.05,2,0.8,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,19,0.5789473684210527,151.79816311274408,1.1902751335269774,0.02962088824364085,3.6919068180673555
3,24,22.0,60.0,24.0,7.6,1.8,1.2,0.1,2,0.6,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,25,0.44,163.0890204264997,1.1922026496418507,0.025174694241246166,3.631970236986463
3,28,18.0,66.0,24.0,7.0,2.2,0.8,0.0,2,0.8,1.2,8.2,1,risk_based,C,1.0,100.0,10000.0,32,0.65625,32.003678032524476,1.0368342245653213,0.03803603580723793,3.6159390197414534
2,18,16.0,58.0,24.0,7.6,1.8,1.2,0.0,5,0.6,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,28,0.42857142857142855,174.12789653478285,1.1690328695418108,0.04444887348360292,3.5817041580247384
4,24,16.0,58.0,18.0,6.8,1.8,0.8,0.05,2,1.0,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,25,0.6,72.89179325055193,1.0731752588576386,0.029620888243641005,3.530379646234906
4,18,10.0,66.0,20.0,7.0,2.0,0.8,0.1,2,0.4,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,20,0.6,77.05342751097305,1.0962308102619123,0.020012897525119772,3.509476355459438
2,24,12.0,56.0,24.0,7.0,2.2,1.0,0.1,3,0.8,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,25,0.52,99.476984775034,1.1057195916283316,0.04491783682418238,3.4561626575591498
3,16,12.0,58.0,24.0,7.6,1.8,1.2,0.05,2,0.6,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,25,0.4,136.3090185614892,1.1502483740128366,0.027743384080901184,3.4535756143444587
3,16,14.0,60.0,16.0,6.8,2.2,1.2,0.0,5,0.4,0.6,8.6,1,risk_based,C,1.0,100.0,10000.0,22,0.5454545454545454,37.3426944223811,1.0937321003144151,0.014435947764286116,3.439680869940171
2,16,14.0,58.0,24.0,7.2,1.8,0.8,0.0,5,0.6,1.2,8.4,1,risk_based,C,1.0,100.0,10000.0,33,0.5757575757575758,11.056536151412729,1.0127854738385833,0.040588060851213234,3.4384996649113035
2,18,10.0,56.0,18.0,7.0,1.8,1.2,0.0,3,0.6,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,31,0.4838709677419355,105.51262115302961,1.0659998260754713,0.05115747583068412,3.429846297424823
4,16,12.0,66.0,22.0,7.0,2.4,0.8,0.0,4,1.0,1.0,8.0,1,risk_based,C,1.0,100.0,10000.0,22,0.6818181818181818,7.975467488460708,1.0114280289300983,0.02970099999999998,3.4044557980759302
2,20,24.0,66.0,20.0,7.6,2.2,1.0,0.05,5,0.6,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,36,0.5,20.34307605385584,1.0178900970951372,0.04204727009262365,3.3999814599662592
2,28,22.0,60.0,24.0,7.4,2.4,0.8,0.0,5,1.0,0.6,8.6,1,risk_based,C,1.0,100.0,10000.0,27,0.5925925925925926,26.45473415050037,1.0253272115089667,0.03763029362345023,3.393107165186972
