structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score,dataset
2,16,20.0,56.0,24.0,7.0,2.2,1.2,0.05,3,0.6,1.2,8.0,1,risk_based,C,1.0,100.0,10000.0,15,0.8666666666666667,1466.4901550619743,10.125047953494361,0.01,23.286586062050695,ETHUSDT_4h
2,28,20.0,66.0,22.0,7.8,2.0,1.0,0.0,4,1.0,1.2,8.4,1,risk_based,C,1.0,100.0,10000.0,17,0.8823529411764706,1713.1022650672676,9.269433206964397,0.01,21.885498090760766,ETHUSDT_4h
2,16,20.0,56.0,20.0,7.2,2.2,1.0,0.0,3,1.0,0.8,8.0,1,risk_based,C,1.0,100.0,10000.0,16,0.875,1314.6241145185068,8.891191388764252,0.008,20.70550689204701,ETHUSDT_4h
2,24,12.0,56.0,24.0,7.0,2.2,1.0,0.1,3,0.8,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,15,0.8666666666666667,1129.2845955149878,8.02446889380738,0.00800000000000005,18.75422238312975,ETHUSDT_4h
4,22,18.0,56.0,22.0,6.8,2.0,1.0,0.05,2,0.8,1.0,7.8,1,risk_based,C,1.0,100.0,10000.0,18,0.8888888888888888,1184.9487869325294,6.836495553603651,0.019900000000000036,16.491573227473165,SOLUSDT_1h
2,18,22.0,56.0,22.0,7.0,2.0,1.0,0.05,4,0.6,0.8,7.8,1,risk_based,C,1.0,100.0,10000.0,18,0.8333333333333334,1113.4288634204859,5.958291472704158,0.008,14.616011808828802,ETHUSDT_4h
2,22,12.0,60.0,16.0,7.6,2.0,1.2,0.0,2,0.4,0.6,8.0,1,risk_based,C,1.0,100.0,10000.0,17,0.8235294117647058,934.1182336114816,6.015797008732496,0.006000000000000031,14.523006368723532,ETHUSDT_4h
2,16,18.0,60.0,16.0,7.2,2.0,1.2,0.0,2,0.8,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,17,0.8235294117647058,1283.9452094903663,5.715915985179759,0.009880100529862629,14.261430995907354,ETHUSDT_4h
2,18,16.0,66.0,20.0,7.0,1.8,1.0,0.0,2,1.0,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,21,0.8095238095238095,1644.0353011819916,4.959464605726106,0.010000000000000023,13.167250226919919,ETHUSDT_4h
2,30,22.0,64.0,16.0,6.8,1.8,1.2,0.0,2,0.8,0.8,8.4,1,risk_based,C,1.0,100.0,10000.0,19,0.7894736842105263,1333.0899182287794,5.037500368091838,0.008000000000000024,12.948301180728246,ETHUSDT_4h
2,18,16.0,58.0,24.0,7.6,1.8,1.2,0.0,5,0.6,1.2,8.6,1,risk_based,C,1.0,100.0,10000.0,16,0.8125,778.6299963668407,5.162262103366457,0.006000000000000052,12.623904203099753,ETHUSDT_4h
2,16,16.0,66.0,18.0,7.2,1.8,1.2,0.05,2,0.6,0.6,8.4,1,risk_based,C,1.0,100.0,10000.0,19,0.7894736842105263,988.765933137769,4.9592448565033935,0.011963999999999973,12.435574172460345,ETHUSDT_4h
2,18,10.0,56.0,18.0,7.0,1.8,1.2,0.0,3,0.6,1.2,7.8,1,risk_based,C,1.0,100.0,10000.0,19,0.7368421052631579,1481.1020690817022,4.719372178750657,0.011964000000000103,12.369217584477752,ETHUSDT_4h
2,26,20.0,64.0,20.0,8.0,1.8,1.2,0.05,2,1.0,0.6,8.6,1,risk_based,C,1.0,100.0,10000.0,20,0.75,1584.7424440052819,4.5997753352346,0.015939999999999982,12.261473114474484,ETHUSDT_4h
2,28,20.0,56.0,18.0,7.0,2.0,1.2,0.05,3,1.0,0.8,8.2,1,risk_based,C,1.0,100.0,10000.0,18,0.7777777777777778,1457.947444961912,4.501202642113321,0.010000000000000073,11.95701939585522,ETHUSDT_4h
4,22,22.0,58.0,22.0,6.8,2.2,1.2,0.05,5,1.0,0.8,8.4,1,risk_based,C,1.0,100.0,10000.0,18,0.7222222222222222,1372.863700337568,4.375736598703429,0.017919999999999946,11.513910231077759,SOLUSDT_15m
