structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
4,36,24.0,62.0,20.0,7.6,1.8,1.4,0.0,6,0.8,3.0,8.0,1,risk_based,I,5.0,130.0,10000.0,22,0.6363636363636364,2092.690136536532,2.5818510501584657,0.05459418701904877,8.48715513034177
5,21,20.0,64.0,16.0,7.0,2.4,0.8,0.0,6,2.0,2.0,7.8,1,risk_based,I,5.0,130.0,10000.0,19,0.7894736842105263,1122.4492158270969,2.599873607037064,0.03960000000000013,7.767606956217014
4,33,24.0,60.0,20.0,7.2,2.6,0.8,0.15,6,1.6,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,24,0.6666666666666666,1359.8450350066414,2.2070403865274666,0.06081679318013626,7.071475428521165
2,30,18.0,58.0,16.0,8.0,2.4,1.0,0.15,5,1.4,5.0,7.8,1,risk_based,I,5.0,130.0,10000.0,27,0.6296296296296297,1346.1753557997145,1.9292365127872164,0.087697986632308,6.425998865921668
5,21,26.0,64.0,16.0,7.0,1.8,1.4,0.1,5,1.4,3.5,8.8,1,risk_based,I,5.0,130.0,10000.0,20,0.7,942.7635570708462,2.001207945542082,0.04180463524230674,6.2697655424280905
5,33,30.0,66.0,22.0,7.8,2.2,1.0,0.1,3,1.2,3.5,8.0,1,risk_based,I,5.0,130.0,10000.0,22,0.6363636363636364,1102.195468333848,1.8076396397718981,0.07552634865211323,5.885441156466759
5,27,14.0,66.0,14.0,8.0,2.8,1.2,0.2,4,0.8,2.0,8.0,1,risk_based,I,5.0,130.0,10000.0,19,0.7368421052631579,704.3508734025709,1.8899667974139576,0.03959999999999992,5.850747626125223
5,27,30.0,60.0,24.0,8.0,2.4,1.4,0.05,3,1.8,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,19,0.5789473684210527,1184.0537519293375,1.742828603467102,0.07559773443835086,5.691338808180068
4,36,12.0,60.0,24.0,8.0,2.2,1.2,0.05,3,2.0,3.0,7.8,1,risk_based,I,5.0,130.0,10000.0,20,0.6,1101.3156174838732,1.7446315009932056,0.06716515906708868,5.689083142269018
5,33,20.0,66.0,24.0,7.6,2.4,1.4,0.15,3,1.4,4.0,8.0,1,risk_based,I,5.0,130.0,10000.0,19,0.5789473684210527,1143.7604596081528,1.7155872207875509,0.07824173614278257,5.588630745386486
4,30,24.0,62.0,14.0,7.8,1.8,1.4,0.15,2,1.4,3.0,8.8,1,risk_based,I,5.0,130.0,10000.0,23,0.6086956521739131,780.5961920765749,1.7794013787422458,0.04580944059567312,5.575014106034917
5,27,30.0,64.0,18.0,6.8,2.0,1.2,0.1,5,0.8,4.5,8.0,1,risk_based,I,5.0,130.0,10000.0,22,0.5909090909090909,1013.8893901652209,1.6644352035125665,0.07602183268439651,5.441057935500801
2,30,14.0,60.0,20.0,7.0,2.6,1.0,0.2,6,0.8,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,30,0.5666666666666667,1082.9505503215823,1.5980950254001982,0.10037979844300321,5.4280012057929685
4,36,26.0,66.0,24.0,8.0,2.6,1.4,0.05,5,1.4,3.0,8.0,1,risk_based,I,5.0,130.0,10000.0,19,0.5789473684210527,1034.3967483210454,1.6444370494339169,0.08189577312744008,5.326004580438138
4,33,30.0,64.0,22.0,8.0,2.2,1.0,0.05,6,1.4,2.0,7.8,1,risk_based,I,5.0,130.0,10000.0,21,0.5714285714285714,800.3920146721102,1.674898476367871,0.04997589676542298,5.277404134254439
3,18,22.0,58.0,22.0,7.4,2.6,1.0,0.0,2,1.8,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,23,0.5217391304347826,1061.9291922555058,1.5846387654596288,0.10855508890959807,5.148150152098142
3,24,14.0,60.0,18.0,7.6,2.0,1.4,0.2,4,1.6,5.0,8.8,1,risk_based,I,5.0,130.0,10000.0,24,0.625,651.1270456136717,1.5926368268812496,0.047744918403795425,5.110665944164785
2,36,12.0,58.0,16.0,7.4,1.8,1.0,0.05,3,1.4,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,27,0.6296296296296297,891.5494326073258,1.5128530876658768,0.10063098384885047,5.099807100836973
4,36,30.0,62.0,22.0,7.4,2.8,0.8,0.0,3,2.0,3.0,7.8,1,risk_based,I,5.0,130.0,10000.0,18,0.7222222222222222,641.9685622429442,1.6155893538326043,0.08744765835466356,5.054137628177496
3,24,12.0,64.0,14.0,7.4,2.2,1.4,0.0,4,1.6,3.0,8.8,1,risk_based,I,5.0,130.0,10000.0,21,0.5714285714285714,656.7196872416444,1.5163075603521634,0.06034911851333763,4.785430309548815
2,33,28.0,62.0,24.0,7.0,2.0,1.2,0.0,2,1.8,4.0,8.0,1,risk_based,I,5.0,130.0,10000.0,26,0.5,877.1868145380886,1.465530606600233,0.10165503630490809,4.7732829188238295
5,21,28.0,60.0,24.0,7.6,2.4,1.2,0.15,6,1.4,2.0,8.0,1,risk_based,I,5.0,130.0,10000.0,19,0.5789473684210527,642.3985713998773,1.5187632051637545,0.058206810413672365,4.753725603117948
2,33,14.0,58.0,20.0,7.8,1.8,1.0,0.05,3,1.6,3.5,8.0,1,risk_based,I,5.0,130.0,10000.0,26,0.6153846153846154,726.9599476905751,1.4146372535989704,0.09905365620096546,4.7021504093625435
5,27,12.0,60.0,20.0,8.0,2.6,0.8,0.2,5,1.4,2.0,8.2,1,risk_based,I,5.0,130.0,10000.0,24,0.625,428.50175531235254,1.4799853234098759,0.03892242233439999,4.689205135128903
5,27,18.0,58.0,22.0,7.4,1.8,1.2,0.2,2,2.0,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,26,0.6153846153846154,691.0822961865215,1.395133102146728,0.08268270303438698,4.67637731445374
4,24,30.0,60.0,24.0,7.8,2.0,1.2,0.2,5,1.2,5.0,7.8,1,risk_based,I,5.0,130.0,10000.0,22,0.5909090909090909,759.1543777899933,1.3922631605610507,0.0974326980320269,4.577746241179651
4,36,28.0,64.0,24.0,7.4,2.2,1.4,0.0,4,1.0,3.0,8.2,1,risk_based,I,5.0,130.0,10000.0,19,0.631578947368421,457.4744733167736,1.4584983428202423,0.05046376592266609,4.5504482822418915
3,24,28.0,58.0,22.0,8.0,1.8,1.0,0.0,5,0.8,4.5,8.0,1,risk_based,I,5.0,130.0,10000.0,24,0.5416666666666666,710.2398743096346,1.384228691209505,0.0795600705807028,4.532517044986536
4,27,26.0,64.0,18.0,7.2,1.8,1.2,0.15,2,2.0,2.0,8.4,1,risk_based,I,5.0,130.0,10000.0,23,0.6086956521739131,512.6161169304069,1.3847173042825116,0.05132210878043911,4.501127877414983
4,36,30.0,60.0,20.0,7.0,2.6,1.0,0.05,4,2.0,2.5,7.8,1,risk_based,I,5.0,130.0,10000.0,22,0.5454545454545454,643.0776554402582,1.4283295869270438,0.09181524480775244,4.482472913052907
2,36,18.0,60.0,18.0,7.0,2.0,1.0,0.05,6,0.8,2.5,7.8,1,risk_based,I,5.0,130.0,10000.0,27,0.5555555555555556,618.9242862540286,1.3553631601021185,0.0885924574201648,4.4372065675311045
4,18,18.0,62.0,16.0,7.4,2.0,0.8,0.0,3,1.4,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,28,0.6428571428571429,528.0611444036531,1.2770891459805576,0.09086949596017217,4.333916662769967
3,18,20.0,62.0,14.0,7.8,2.0,1.0,0.0,4,2.0,4.0,8.4,1,risk_based,I,5.0,130.0,10000.0,25,0.56,536.406858969478,1.3300384629337274,0.07131172580178455,4.322548607431579
