structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
2,33,28.0,64.0,20.0,6.8,2.0,1.2,0.2,5,1.8,3.5,7.8,1,risk_based,I,5.0,130.0,10000.0,27,0.6296296296296297,1757.923358136446,1.6444335459404535,0.10810479993005327,6.206920494671638
2,33,28.0,62.0,24.0,7.0,2.0,1.2,0.0,2,1.8,4.0,8.0,1,risk_based,I,5.0,130.0,10000.0,22,0.6363636363636364,1645.623251941288,1.6798441286886834,0.1209747298394266,6.036932774345829
2,33,26.0,58.0,22.0,7.2,2.0,1.4,0.2,3,1.2,4.0,8.6,1,risk_based,I,5.0,130.0,10000.0,24,0.5833333333333334,1036.8993285403722,1.8473564339675737,0.05589501359725826,5.918927155683745
5,27,18.0,58.0,22.0,7.4,1.8,1.2,0.2,2,2.0,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,14,0.6428571428571429,1623.7096106413046,1.6934353512864797,0.12257498798516432,5.887141063544486
2,36,18.0,60.0,18.0,7.0,2.0,1.0,0.05,6,0.8,2.5,7.8,1,risk_based,I,5.0,130.0,10000.0,29,0.6206896551724138,1314.9257953199958,1.5427006090643365,0.10262854701105568,5.603475855174123
5,21,30.0,66.0,24.0,7.2,1.8,1.2,0.15,4,2.0,4.0,8.2,1,risk_based,I,5.0,130.0,10000.0,16,0.625,605.2333987456568,1.47091423245461,0.08045589799121133,4.563194169681243
2,30,14.0,60.0,20.0,7.0,2.6,1.0,0.2,6,0.8,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,33,0.6060606060606061,748.587607465448,1.1633940872202584,0.18250733338623995,4.0969446908381535
5,27,30.0,64.0,18.0,6.8,2.0,1.2,0.1,5,0.8,4.5,8.0,1,risk_based,I,5.0,130.0,10000.0,17,0.5294117647058824,1023.8608042516771,1.275114702319447,0.21441413007086293,4.0649654657368055
2,33,14.0,58.0,20.0,7.8,1.8,1.0,0.05,3,1.6,3.5,8.0,1,risk_based,I,5.0,130.0,10000.0,34,0.5588235294117647,601.7857181550407,1.1214454932294806,0.1626273607414831,3.8750299165072
2,21,20.0,66.0,24.0,7.6,2.4,0.8,0.15,4,1.8,3.5,8.2,1,risk_based,I,5.0,130.0,10000.0,30,0.6666666666666666,245.54603876740657,1.117894000699882,0.08439569429336603,3.828146957287073
