structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
5,21,20.0,64.0,16.0,7.0,2.4,0.8,0.0,6,2.0,2.0,7.8,1,risk_based,I,5.0,130.0,10000.0,18,0.8888888888888888,2055.5870646332605,5.519220335883545,0.020000000000000066,14.727361069733682
5,30,12.0,58.0,14.0,7.2,2.6,0.8,0.1,6,1.6,2.5,8.4,1,risk_based,I,5.0,130.0,10000.0,18,0.8333333333333334,2137.2701474829537,5.377027041817622,0.029224898047360184,14.413649536976116
3,18,22.0,58.0,22.0,7.4,2.6,1.0,0.0,2,1.8,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,21,0.7619047619047619,2779.3055124098228,3.2217345582062906,0.04542226167358288,10.649364986658798
5,33,16.0,64.0,16.0,7.6,2.6,1.4,0.15,5,2.0,4.5,8.6,1,risk_based,I,5.0,130.0,10000.0,18,0.7222222222222222,2382.6140357392287,3.350029782207476,0.0348442537918697,10.421474172111905
2,18,18.0,60.0,22.0,6.8,2.6,1.0,0.2,5,1.0,3.5,8.6,1,risk_based,I,5.0,130.0,10000.0,32,0.75,1885.8389981488726,3.2331055924940895,0.02750202026293566,10.034544122348246
4,36,30.0,60.0,20.0,7.0,2.6,1.0,0.05,4,2.0,2.5,7.8,1,risk_based,I,5.0,130.0,10000.0,24,0.7916666666666666,2154.8571121357563,3.050964139518982,0.03426798793167479,9.821481427378698
4,36,30.0,62.0,22.0,7.4,2.8,0.8,0.0,3,2.0,3.0,7.8,1,risk_based,I,5.0,130.0,10000.0,22,0.7727272727272727,2081.6045792151,2.865724417935436,0.04278548360269452,9.283787873368796
5,21,26.0,64.0,16.0,7.0,1.8,1.4,0.1,5,1.4,3.5,8.8,1,risk_based,I,5.0,130.0,10000.0,19,0.7368421052631579,1493.2330443116334,3.1480174079910626,0.031696304966205645,9.179442103289878
4,30,16.0,66.0,14.0,7.6,2.8,1.0,0.05,4,2.0,2.5,8.6,1,risk_based,I,5.0,130.0,10000.0,24,0.7916666666666666,1560.2023849524667,3.0131202670980404,0.036921533385980046,9.143178318990607
4,33,14.0,66.0,24.0,7.2,2.6,1.0,0.05,5,1.4,3.0,8.8,1,risk_based,I,5.0,130.0,10000.0,24,0.75,1507.9743162456161,3.004700135243685,0.02921451485244178,9.034731042175661
2,30,14.0,60.0,20.0,7.0,2.6,1.0,0.2,6,0.8,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,33,0.7575757575757576,2570.663831566866,2.378307516583018,0.05697165601254354,8.952727533058908
5,18,30.0,58.0,16.0,7.2,2.6,1.2,0.0,3,0.8,4.0,8.4,1,risk_based,I,5.0,130.0,10000.0,18,0.7222222222222222,992.1081095139871,3.1880599012689537,0.02185178276854386,8.746005897079597
4,33,30.0,64.0,22.0,8.0,2.2,1.0,0.05,6,1.4,2.0,7.8,1,risk_based,I,5.0,130.0,10000.0,25,0.72,2001.5793986763892,2.6150293130091358,0.053582628173040936,8.650890140175537
5,18,26.0,62.0,20.0,7.8,2.2,0.8,0.05,4,1.4,4.5,8.4,1,risk_based,I,5.0,130.0,10000.0,21,0.7619047619047619,1365.4766317982958,2.865319162709994,0.026539734447190204,8.579352896733855
5,33,16.0,66.0,22.0,7.6,2.4,0.8,0.1,4,1.0,3.5,8.6,1,risk_based,I,5.0,130.0,10000.0,22,0.7272727272727273,1090.0823466139718,2.9967288579806195,0.02005011447410136,8.554298810061997
3,21,18.0,64.0,18.0,7.6,1.8,1.0,0.1,3,1.2,2.5,8.2,1,risk_based,I,5.0,130.0,10000.0,30,0.7333333333333333,1411.0442223632035,2.7615134135069948,0.03176374856174441,8.538779803691959
4,30,14.0,60.0,16.0,7.4,2.4,1.0,0.05,2,1.4,3.5,8.2,1,risk_based,I,5.0,130.0,10000.0,24,0.75,1322.9544954480716,2.7354544536313727,0.04280551164450745,8.270446867777295
5,33,30.0,66.0,22.0,7.8,2.2,1.0,0.1,3,1.2,3.5,8.0,1,risk_based,I,5.0,130.0,10000.0,20,0.75,2013.539325028647,2.351773425040339,0.040449019813513516,8.120739115668783
5,27,14.0,66.0,14.0,8.0,2.8,1.2,0.2,4,0.8,2.0,8.0,1,risk_based,I,5.0,130.0,10000.0,23,0.6956521739130435,1671.8154225905855,2.5020229618408827,0.04497230033633477,8.044422706132913
5,21,28.0,60.0,24.0,7.6,2.4,1.2,0.15,6,1.4,2.0,8.0,1,risk_based,I,5.0,130.0,10000.0,20,0.7,1798.2619995549812,2.447724055379552,0.039600000000000066,8.024910110314085
2,21,16.0,64.0,22.0,7.0,2.4,1.4,0.2,5,1.6,3.0,8.6,1,risk_based,I,5.0,130.0,10000.0,30,0.6333333333333333,1872.7635287301982,2.311021315025201,0.033395947412857084,7.944618316542028
4,36,12.0,60.0,24.0,8.0,2.2,1.2,0.05,3,2.0,3.0,7.8,1,risk_based,I,5.0,130.0,10000.0,24,0.7083333333333334,2194.0126827655167,2.147494465603603,0.06003143350429983,7.8514073134598235
2,36,20.0,66.0,14.0,7.2,2.4,1.4,0.1,3,1.6,3.5,8.8,1,risk_based,I,5.0,130.0,10000.0,29,0.6206896551724138,1883.7864497426235,2.263031833402075,0.04454263866788179,7.78725668330175
3,27,20.0,62.0,16.0,7.0,2.0,1.2,0.0,6,0.8,3.0,8.6,1,risk_based,I,5.0,130.0,10000.0,28,0.75,874.7103084957344,2.634074413039546,0.019958352127449105,7.7679840781924785
3,18,20.0,62.0,14.0,7.8,2.0,1.0,0.0,4,2.0,4.0,8.4,1,risk_based,I,5.0,130.0,10000.0,28,0.7857142857142857,1385.9979054853993,2.3477110422987617,0.03968857947906981,7.700925680217143
5,27,12.0,60.0,20.0,8.0,2.6,0.8,0.2,5,1.4,2.0,8.2,1,risk_based,I,5.0,130.0,10000.0,22,0.7727272727272727,1097.7284309798742,2.53282208077186,0.022742008755040004,7.694237475349384
3,21,16.0,60.0,20.0,6.8,2.0,1.2,0.15,3,1.2,2.5,8.8,1,risk_based,I,5.0,130.0,10000.0,30,0.7,1334.7374160778563,2.381171069032347,0.03236900026400531,7.649972553350534
3,21,24.0,64.0,20.0,7.4,2.4,0.8,0.05,5,0.8,3.5,8.2,1,risk_based,I,5.0,130.0,10000.0,27,0.7777777777777778,704.1811141803337,2.5789400203643735,0.018972293427103652,7.511810941294437
5,33,20.0,66.0,24.0,7.6,2.4,1.4,0.15,3,1.4,4.0,8.0,1,risk_based,I,5.0,130.0,10000.0,18,0.6666666666666666,2177.4902690434683,2.075981302164115,0.07754360804456871,7.456822049237992
4,24,26.0,62.0,18.0,7.6,2.0,0.8,0.05,4,0.8,4.5,8.6,1,risk_based,I,5.0,130.0,10000.0,26,0.7692307692307693,690.5054626589517,2.5648142097886155,0.022539050624696376,7.426362884208247
2,33,24.0,62.0,14.0,6.8,2.2,1.0,0.1,3,1.8,3.5,8.6,1,risk_based,I,5.0,130.0,10000.0,35,0.6571428571428571,1529.0129344676025,2.113294788972707,0.04946396596111909,7.292924900243945
3,30,20.0,58.0,14.0,8.0,2.2,1.2,0.15,6,1.6,2.0,8.4,1,risk_based,I,5.0,130.0,10000.0,28,0.6071428571428571,1481.8129144220875,2.204807759780259,0.039777751493034336,7.242809465217789
4,30,24.0,62.0,14.0,7.8,1.8,1.4,0.15,2,1.4,3.0,8.8,1,risk_based,I,5.0,130.0,10000.0,24,0.6666666666666666,1308.0310326057552,2.2143302859449507,0.031573612018160384,7.121970768441175
2,27,22.0,60.0,20.0,7.4,2.2,1.2,0.1,4,1.6,4.5,8.2,1,risk_based,I,5.0,130.0,10000.0,32,0.65625,1532.2099995836488,2.020621436919244,0.03486083798088993,7.093245359479467
2,30,18.0,58.0,16.0,8.0,2.4,1.0,0.15,5,1.4,5.0,7.8,1,risk_based,I,5.0,130.0,10000.0,32,0.65625,1892.7833550609503,1.8938656603636321,0.07530654795681092,7.078970031917781
2,30,22.0,64.0,14.0,7.0,2.2,1.2,0.05,2,1.0,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,35,0.6285714285714286,1972.5890294038418,1.8461569508350348,0.07806533113026178,7.073564080540269
2,33,20.0,66.0,18.0,8.0,2.2,1.4,0.1,6,1.0,2.5,8.4,1,risk_based,I,5.0,130.0,10000.0,31,0.5806451612903226,1331.6094971980656,2.1253081886550143,0.027502020262935547,6.990687555654771
5,27,30.0,60.0,24.0,8.0,2.4,1.4,0.05,3,1.8,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,18,0.6666666666666666,1988.5502700084435,1.9353834854297398,0.08949481803719855,6.950832786756328
4,27,26.0,64.0,24.0,7.4,2.6,1.4,0.05,2,1.2,4.0,8.8,1,risk_based,I,5.0,130.0,10000.0,21,0.6666666666666666,1099.106874567724,2.165965036719152,0.028396253509394724,6.765848187477844
2,27,12.0,64.0,16.0,7.4,2.4,1.2,0.1,3,1.0,2.0,8.8,1,risk_based,I,5.0,130.0,10000.0,33,0.6363636363636364,1180.3969217423237,2.0251259580495216,0.02750202026293552,6.762688231598015
4,36,24.0,62.0,20.0,7.6,1.8,1.4,0.0,6,0.8,3.0,8.0,1,risk_based,I,5.0,130.0,10000.0,25,0.68,1696.4162608761271,1.879839129297076,0.0720627010089646,6.759906416443385
4,36,28.0,64.0,24.0,7.4,2.2,1.4,0.0,4,1.0,3.0,8.2,1,risk_based,I,5.0,130.0,10000.0,22,0.6363636363636364,1024.293759096634,2.208672189784778,0.02689328386579963,6.755503741614246
4,18,18.0,62.0,16.0,7.4,2.0,0.8,0.0,3,1.4,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,25,0.8,1366.8541792530596,1.9020167517746958,0.061252202262303615,6.6871310760155405
