structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
2,36,24.0,60.0,16.0,8.2,1.8,1.0,0.0,5,1.0,5.0,8.4,1,risk_based,I,5.0,130.0,10000.0,5,0.8,1485.3151203352118,5.106194646080777,0.030532980047097154,12.906105472355472
3,21,24.0,64.0,20.0,7.4,2.4,0.8,0.05,5,0.8,3.5,8.2,1,risk_based,I,5.0,130.0,10000.0,19,0.7894736842105263,1346.5694734762837,4.851251781319245,0.03093583581913528,12.520476054973157
3,18,22.0,58.0,22.0,7.4,2.6,1.0,0.0,2,1.8,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,14,0.7857142857142857,2895.825516121149,3.514636144948858,0.10309653368363202,11.074379633539397
2,33,22.0,58.0,14.0,8.2,2.6,1.0,0.0,6,0.8,5.0,8.0,1,risk_based,I,5.0,130.0,10000.0,4,0.75,911.3490819990984,3.651979458766545,0.03053298004709721,9.328709059390896
5,27,14.0,66.0,14.0,8.0,2.8,1.2,0.2,4,0.8,2.0,8.0,1,risk_based,I,5.0,130.0,10000.0,12,0.6666666666666666,1409.3253878282721,2.927655528908252,0.06772299838733499,8.301467450482772
2,33,26.0,58.0,22.0,7.2,2.0,1.4,0.2,3,1.2,4.0,8.6,1,risk_based,I,5.0,130.0,10000.0,18,0.5555555555555556,1924.0009229670977,2.5377645030364087,0.03478039715927685,8.088522070895417
3,30,20.0,58.0,14.0,8.0,2.2,1.2,0.15,6,1.6,2.0,8.4,1,risk_based,I,5.0,130.0,10000.0,15,0.6666666666666666,1258.3800830681048,2.796745411238124,0.06388181522313922,7.960225459874935
4,30,16.0,66.0,14.0,7.6,2.8,1.0,0.05,4,2.0,2.5,8.6,1,risk_based,I,5.0,130.0,10000.0,11,0.6363636363636364,1358.7528532629894,2.815148341734679,0.07050975032947752,7.9520657402893695
2,33,24.0,60.0,20.0,7.2,1.8,1.2,0.15,4,1.0,3.5,8.2,1,risk_based,I,5.0,130.0,10000.0,22,0.5909090909090909,1638.3344747697738,2.3791706074394985,0.038508109232951594,7.607514998313554
3,18,20.0,62.0,14.0,7.8,2.0,1.0,0.0,4,2.0,4.0,8.4,1,risk_based,I,5.0,130.0,10000.0,20,0.65,1733.9606080058675,2.230614706754821,0.06242454463637181,7.382916387606394
2,33,28.0,60.0,18.0,6.8,1.8,1.2,0.05,5,0.8,5.0,7.8,1,risk_based,I,5.0,130.0,10000.0,27,0.5555555555555556,2620.8648350343265,1.7398299120574634,0.08922626223983762,7.206179205763074
4,33,14.0,66.0,24.0,7.2,2.6,1.0,0.05,5,1.4,3.0,8.8,1,risk_based,I,5.0,130.0,10000.0,12,0.75,699.9832852263589,2.630817203647126,0.04141474399999994,7.202373460520611
3,33,22.0,58.0,16.0,6.8,2.2,1.4,0.1,2,1.0,4.0,8.8,1,risk_based,I,5.0,130.0,10000.0,16,0.5625,1096.2453922506284,2.472342391690016,0.056924087036506824,7.03390791452114
4,36,26.0,66.0,24.0,8.0,2.6,1.4,0.05,5,1.4,3.0,8.0,1,risk_based,I,5.0,130.0,10000.0,12,0.6666666666666666,1501.038581277071,2.2988800703610703,0.10720228467741126,7.017191867966979
3,18,12.0,62.0,14.0,7.4,2.2,1.4,0.05,6,1.0,4.5,8.6,1,risk_based,I,5.0,130.0,10000.0,15,0.6,1115.533753944428,2.4096591061529957,0.04633651412040917,6.995842423889191
