structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
3,30,20.0,58.0,14.0,8.0,2.2,1.2,0.15,6,1.6,2.0,8.4,1,risk_based,I,5.0,130.0,10000.0,17,0.7058823529411765,2524.723321728894,4.480510458750809,0.03235296238629852,12.78750888148338
5,27,30.0,60.0,24.0,8.0,2.4,1.4,0.05,3,1.8,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,12,0.6666666666666666,2556.095248928297,3.634113174153792,0.054082842273332155,10.902073070415886
4,36,12.0,60.0,24.0,8.0,2.2,1.2,0.05,3,2.0,3.0,7.8,1,risk_based,I,5.0,130.0,10000.0,18,0.6111111111111112,2966.9360052792817,3.208794221756672,0.04514679998797223,10.525750715495374
5,33,20.0,66.0,24.0,7.6,2.4,1.4,0.15,3,1.4,4.0,8.0,1,risk_based,I,5.0,130.0,10000.0,12,0.6666666666666666,2317.5373787268763,3.3990504700915705,0.05408284227333203,10.193389792090022
5,18,30.0,58.0,16.0,7.2,2.6,1.2,0.0,3,0.8,4.0,8.4,1,risk_based,I,5.0,130.0,10000.0,12,0.6666666666666666,1112.819115742468,3.6455426947375473,0.024485913300008058,9.57044676531754
3,33,22.0,58.0,16.0,6.8,2.2,1.4,0.1,2,1.0,4.0,8.8,1,risk_based,I,5.0,130.0,10000.0,18,0.6666666666666666,1645.2362438775763,3.3161855760448637,0.028806912218571405,9.551186659311588
5,33,16.0,64.0,16.0,7.6,2.6,1.4,0.15,5,2.0,4.5,8.6,1,risk_based,I,5.0,130.0,10000.0,13,0.6153846153846154,1699.4281985931848,3.3269167509327526,0.03628648692944351,9.427479162747282
5,21,28.0,60.0,24.0,7.6,2.4,1.2,0.15,6,1.4,2.0,8.0,1,risk_based,I,5.0,130.0,10000.0,12,0.6666666666666666,1536.9496590774106,3.260347627601829,0.0362864869294435,9.188785453492738
4,36,28.0,64.0,24.0,7.4,2.2,1.4,0.0,4,1.0,3.0,8.2,1,risk_based,I,5.0,130.0,10000.0,18,0.6111111111111112,1574.7096842493756,3.175204866373041,0.0264526755715809,9.12242805694738
5,27,14.0,66.0,14.0,8.0,2.8,1.2,0.2,4,0.8,2.0,8.0,1,risk_based,I,5.0,130.0,10000.0,13,0.6153846153846154,1618.6230337812685,3.20938537131841,0.03628648692944367,9.111611238706681
3,24,12.0,64.0,14.0,7.4,2.2,1.4,0.0,4,1.6,3.0,8.8,1,risk_based,I,5.0,130.0,10000.0,16,0.5625,1751.6069311692045,3.0891134658556663,0.03619743662652255,8.98499155300097
4,36,26.0,66.0,24.0,8.0,2.6,1.4,0.05,5,1.4,3.0,8.0,1,risk_based,I,5.0,130.0,10000.0,15,0.6,1896.505359055138,2.9328762567362365,0.04514679998797217,8.826817472563695
4,27,26.0,64.0,24.0,7.4,2.6,1.4,0.05,2,1.2,4.0,8.8,1,risk_based,I,5.0,130.0,10000.0,15,0.6,1210.5142573584562,2.888254403549427,0.028419437843153393,8.10176475092785
3,18,12.0,62.0,14.0,7.4,2.2,1.4,0.05,6,1.0,4.5,8.6,1,risk_based,I,5.0,130.0,10000.0,16,0.5625,1311.692765734464,2.7362063144229607,0.03619743662652269,7.839263084700818
3,27,22.0,62.0,14.0,7.6,2.2,1.4,0.2,4,0.8,2.0,8.2,1,risk_based,I,5.0,130.0,10000.0,19,0.5789473684210527,1225.5765490513877,2.5021855350191493,0.03619743662652262,7.369776361841697
4,36,30.0,62.0,22.0,7.4,2.8,0.8,0.0,3,2.0,3.0,7.8,1,risk_based,I,5.0,130.0,10000.0,20,0.75,1262.0252215284127,2.079702228381414,0.059099999999999916,6.769129678291241
4,27,26.0,64.0,18.0,7.2,1.8,1.2,0.15,2,2.0,2.0,8.4,1,risk_based,I,5.0,130.0,10000.0,26,0.6153846153846154,1522.781078373384,1.9654435443075238,0.0749906861910086,6.671773031492329
5,18,26.0,62.0,20.0,7.8,2.2,0.8,0.05,4,1.4,4.5,8.4,1,risk_based,I,5.0,130.0,10000.0,21,0.7619047619047619,777.1993726975506,2.137714190320912,0.04159876819385969,6.490688591614937
4,33,30.0,64.0,22.0,8.0,2.2,1.0,0.05,6,1.4,2.0,7.8,1,risk_based,I,5.0,130.0,10000.0,23,0.6956521739130435,1180.262982210821,1.9977791598881676,0.07299853851004083,6.460303947326599
2,33,28.0,60.0,18.0,6.8,1.8,1.2,0.05,5,0.8,5.0,7.8,1,risk_based,I,5.0,130.0,10000.0,29,0.5862068965517241,1902.2889501331483,1.6880058473438888,0.10219883027039793,6.431014498837319
2,21,16.0,64.0,22.0,7.0,2.4,1.4,0.2,5,1.6,3.0,8.6,1,risk_based,I,5.0,130.0,10000.0,18,0.5555555555555556,1109.8661573458157,2.0608260427246767,0.05287527464005352,6.266225752208342
2,36,12.0,58.0,16.0,7.4,1.8,1.0,0.05,3,1.4,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,31,0.6451612903225806,1636.6943306469038,1.698595955452459,0.12270647840986568,6.253508741806096
5,33,16.0,66.0,22.0,7.6,2.4,0.8,0.1,4,1.0,3.5,8.6,1,risk_based,I,5.0,130.0,10000.0,20,0.7,727.8150624504524,2.078964678800399,0.04299047811044985,6.206772985719901
2,33,14.0,58.0,20.0,7.8,1.8,1.0,0.05,3,1.6,3.5,8.0,1,risk_based,I,5.0,130.0,10000.0,30,0.6333333333333333,1555.2391765379907,1.6951069072743898,0.11409599641439382,6.153165001843589
5,21,20.0,64.0,16.0,7.0,2.4,0.8,0.0,6,2.0,2.0,7.8,1,risk_based,I,5.0,130.0,10000.0,25,0.68,1001.4117810721291,1.8260856998105868,0.039599999999999996,6.054783180693303
2,33,24.0,60.0,20.0,7.2,1.8,1.2,0.15,4,1.0,3.5,8.2,1,risk_based,I,5.0,130.0,10000.0,27,0.5925925925925926,1149.4899176234067,1.7608716169923306,0.0503662803444088,5.94902319946373
5,30,12.0,58.0,14.0,7.2,2.6,0.8,0.1,6,1.6,2.5,8.4,1,risk_based,I,5.0,130.0,10000.0,23,0.6956521739130435,851.022368883614,1.846289946236874,0.05806669283020203,5.872880443736322
2,24,18.0,64.0,24.0,7.4,2.2,1.2,0.15,6,1.6,3.0,8.4,1,risk_based,I,5.0,130.0,10000.0,21,0.5238095238095238,1198.2433745441067,1.809688684731547,0.05032362151370788,5.872364165180363
3,21,16.0,60.0,20.0,6.8,2.0,1.2,0.15,3,1.2,2.5,8.8,1,risk_based,I,5.0,130.0,10000.0,26,0.6153846153846154,1009.3465645050474,1.7560935395924417,0.06665152031461123,5.764656005823021
4,36,24.0,64.0,22.0,7.4,2.4,1.0,0.1,5,1.4,2.0,8.4,1,risk_based,I,5.0,130.0,10000.0,20,0.65,719.4115388743649,1.885020468112452,0.059538677220596345,5.6858364434374815
2,33,20.0,66.0,18.0,8.0,2.2,1.4,0.1,6,1.0,2.5,8.4,1,risk_based,I,5.0,130.0,10000.0,21,0.5238095238095238,942.5782417662122,1.8216769346597455,0.04069224396571313,5.669569664902849
2,27,22.0,60.0,20.0,7.4,2.2,1.2,0.1,4,1.6,4.5,8.2,1,risk_based,I,5.0,130.0,10000.0,22,0.5909090909090909,1116.010138754873,1.710255743477346,0.06466684245120927,5.668884734719574
4,30,24.0,62.0,14.0,7.8,1.8,1.4,0.15,2,1.4,3.0,8.8,1,risk_based,I,5.0,130.0,10000.0,25,0.56,1028.1123894036518,1.6862206412628113,0.0717117281880317,5.5254184873651795
4,36,24.0,62.0,20.0,7.6,1.8,1.4,0.0,6,0.8,3.0,8.0,1,risk_based,I,5.0,130.0,10000.0,24,0.4583333333333333,1356.109669022224,1.606810596309985,0.08689990832079551,5.476531136679807
2,33,28.0,64.0,20.0,6.8,2.0,1.2,0.2,5,1.8,3.5,7.8,1,risk_based,I,5.0,130.0,10000.0,26,0.5769230769230769,1149.7677368621844,1.5653699832313357,0.07421251188599738,5.443254783051479
2,33,14.0,66.0,18.0,7.8,1.8,1.2,0.15,3,1.4,2.0,8.8,1,risk_based,I,5.0,130.0,10000.0,27,0.5185185185185185,1053.141949427889,1.6158476536926263,0.05658119533961364,5.432871448572078
5,33,30.0,66.0,22.0,7.8,2.2,1.0,0.1,3,1.2,3.5,8.0,1,risk_based,I,5.0,130.0,10000.0,18,0.7222222222222222,746.0754496548998,1.6556621680125156,0.07465170808237435,5.2767779947661415
2,18,20.0,60.0,16.0,7.2,2.8,0.8,0.2,2,1.6,3.5,7.8,1,risk_based,I,5.0,130.0,10000.0,30,0.7333333333333333,768.8494415626064,1.4732238649484009,0.06663195611677197,5.215401303109092
5,27,12.0,60.0,20.0,8.0,2.6,0.8,0.2,5,1.4,2.0,8.2,1,risk_based,I,5.0,130.0,10000.0,22,0.6818181818181818,625.064913431479,1.6327095789233108,0.06021236953467976,5.172574235401334
5,27,30.0,64.0,18.0,6.8,2.0,1.2,0.1,5,0.8,4.5,8.0,1,risk_based,I,5.0,130.0,10000.0,22,0.5454545454545454,1040.5860667480283,1.5359039143564923,0.11081630761701196,5.038126790791796
2,27,12.0,64.0,16.0,7.4,2.4,1.2,0.1,3,1.0,2.0,8.8,1,risk_based,I,5.0,130.0,10000.0,24,0.5833333333333334,603.8558080564289,1.546347144714921,0.031605816946812734,4.956732646645833
3,21,18.0,64.0,18.0,7.6,1.8,1.0,0.1,3,1.2,2.5,8.2,1,risk_based,I,5.0,130.0,10000.0,30,0.6666666666666666,603.5966336497331,1.4646222190866696,0.0600305397021106,4.95274945271674
2,33,26.0,58.0,22.0,7.2,2.0,1.4,0.2,3,1.2,4.0,8.6,1,risk_based,I,5.0,130.0,10000.0,22,0.5909090909090909,720.5254448543474,1.5262519500681229,0.053049910858398615,4.9402432487790335
4,30,14.0,60.0,16.0,7.4,2.4,1.0,0.05,2,1.4,3.5,8.2,1,risk_based,I,5.0,130.0,10000.0,21,0.7142857142857143,527.1055111861406,1.538793008795118,0.0755090195964598,4.869593041415569
2,27,14.0,62.0,18.0,7.6,1.8,1.4,0.2,2,1.4,2.0,8.6,1,risk_based,I,5.0,130.0,10000.0,24,0.4583333333333333,824.9738637542159,1.509883478546361,0.05635494299488736,4.843175991862276
4,36,30.0,60.0,20.0,7.0,2.6,1.0,0.05,4,2.0,2.5,7.8,1,risk_based,I,5.0,130.0,10000.0,20,0.65,637.8505076575912,1.5090118149176512,0.09120337301962321,4.757264018434024
4,33,14.0,66.0,24.0,7.2,2.6,1.0,0.05,5,1.4,3.0,8.8,1,risk_based,I,5.0,130.0,10000.0,19,0.631578947368421,547.4015454099335,1.5293021395425297,0.06903329226429493,4.72627436875474
5,27,18.0,58.0,22.0,7.4,1.8,1.2,0.2,2,2.0,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,18,0.6111111111111112,667.7026563330637,1.4691806751190377,0.07682505554368879,4.65225550660674
2,30,22.0,64.0,14.0,7.0,2.2,1.2,0.05,2,1.0,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,26,0.5769230769230769,768.5478442215062,1.3541233022562393,0.08082144574263661,4.61971472689069
2,36,20.0,66.0,14.0,7.2,2.4,1.4,0.1,3,1.6,3.5,8.8,1,risk_based,I,5.0,130.0,10000.0,21,0.47619047619047616,671.9714832795125,1.4807959648653977,0.05287527464005346,4.609223303375861
4,30,16.0,66.0,14.0,7.6,2.8,1.0,0.05,4,2.0,2.5,8.6,1,risk_based,I,5.0,130.0,10000.0,22,0.6363636363636364,529.9531910993264,1.3938683825106644,0.08054719532114883,4.4705938247026635
4,18,18.0,62.0,16.0,7.4,2.0,0.8,0.0,3,1.4,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,26,0.7692307692307693,374.22786016254395,1.2708839669519145,0.06321767382270436,4.4001889264444145
3,18,22.0,58.0,22.0,7.4,2.6,1.0,0.0,2,1.8,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,22,0.6363636363636364,496.0608111798374,1.3374044418717914,0.09071681136478432,4.293264715374522
2,30,18.0,58.0,16.0,8.0,2.4,1.0,0.15,5,1.4,5.0,7.8,1,risk_based,I,5.0,130.0,10000.0,25,0.68,457.4960644014518,1.2994535257455815,0.10568627818430998,4.2593442813396845
5,21,26.0,64.0,16.0,7.0,1.8,1.4,0.1,5,1.4,3.5,8.8,1,risk_based,I,5.0,130.0,10000.0,22,0.5454545454545454,420.38688849423124,1.3472834687131947,0.057552806795346544,4.200477223716399
3,27,20.0,62.0,16.0,7.0,2.0,1.2,0.0,6,0.8,3.0,8.6,1,risk_based,I,5.0,130.0,10000.0,24,0.5416666666666666,367.6764402481931,1.3069560539196823,0.04389112906863999,4.142415160881638
3,18,20.0,62.0,14.0,7.8,2.0,1.0,0.0,4,2.0,4.0,8.4,1,risk_based,I,5.0,130.0,10000.0,28,0.6428571428571429,390.634224236901,1.220794621640098,0.08309891794022485,4.107212427982137
5,24,24.0,66.0,24.0,8.2,2.0,1.0,0.1,3,0.8,4.0,8.8,1,risk_based,I,5.0,130.0,10000.0,4,0.5,140.14619954969749,1.577987480135541,0.016618864213718002,4.076264567179625
3,24,28.0,58.0,22.0,8.0,1.8,1.0,0.0,5,0.8,4.5,8.0,1,risk_based,I,5.0,130.0,10000.0,23,0.6521739130434783,490.1772251763814,1.248106195069701,0.1210237503551989,4.0615792338154035
2,18,18.0,60.0,22.0,6.8,2.6,1.0,0.2,5,1.0,3.5,8.6,1,risk_based,I,5.0,130.0,10000.0,24,0.5833333333333334,298.7202938722912,1.2365399172715303,0.06551174848311177,3.9302648829660165
2,33,28.0,62.0,24.0,7.0,2.0,1.2,0.0,2,1.8,4.0,8.0,1,risk_based,I,5.0,130.0,10000.0,23,0.5217391304347826,468.466029933139,1.2246061121441412,0.08139770421831471,3.916093837218651
2,30,14.0,60.0,20.0,7.0,2.6,1.0,0.2,6,0.8,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,25,0.6,356.03692103304456,1.1978106899621408,0.09545556352792184,3.8652916103735606
3,24,14.0,60.0,18.0,7.6,2.0,1.4,0.2,4,1.6,5.0,8.8,1,risk_based,I,5.0,130.0,10000.0,24,0.5,440.38214118467295,1.2346706258278943,0.09287628871613521,3.8610945266920558
4,24,26.0,62.0,18.0,7.6,2.0,0.8,0.05,4,0.8,4.5,8.6,1,risk_based,I,5.0,130.0,10000.0,28,0.75,129.38466917769256,1.1178828660549063,0.06654968076003237,3.850501359007408
4,24,30.0,60.0,24.0,7.8,2.0,1.2,0.2,5,1.2,5.0,7.8,1,risk_based,I,5.0,130.0,10000.0,22,0.5,574.8768711645716,1.23460951790648,0.14557752073048763,3.797363344786069
4,33,24.0,60.0,20.0,7.2,2.6,0.8,0.15,6,1.6,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,24,0.7083333333333334,174.9660583164732,1.108639747943433,0.08131463998947382,3.690801634234918
2,33,24.0,62.0,14.0,6.8,2.2,1.0,0.1,3,1.8,3.5,8.6,1,risk_based,I,5.0,130.0,10000.0,33,0.6060606060606061,169.52345577546475,1.090552539010211,0.083184874425272,3.67016481961098
3,21,24.0,64.0,20.0,7.4,2.4,0.8,0.05,5,0.8,3.5,8.2,1,risk_based,I,5.0,130.0,10000.0,26,0.7307692307692307,72.28001221525483,1.0742972153795267,0.05646067314769991,3.6676462696850542
5,21,30.0,66.0,24.0,7.2,1.8,1.2,0.15,4,2.0,4.0,8.2,1,risk_based,I,5.0,130.0,10000.0,18,0.5555555555555556,259.5270242795141,1.1957419015225885,0.06198317997235236,3.6583946207409674
2,21,20.0,66.0,24.0,7.6,2.4,0.8,0.15,4,1.8,3.5,8.2,1,risk_based,I,5.0,130.0,10000.0,25,0.64,96.6949476781574,1.0654761961274437,0.06635663266996783,3.4885774419231415
2,36,18.0,60.0,18.0,7.0,2.0,1.0,0.05,6,0.8,2.5,7.8,1,risk_based,I,5.0,130.0,10000.0,28,0.5714285714285714,2.9635867027045606,1.0014861645191433,0.09041260165170374,3.151840967928737
2,36,24.0,60.0,16.0,8.2,1.8,1.0,0.0,5,1.0,5.0,8.4,1,risk_based,I,5.0,130.0,10000.0,11,0.5454545454545454,31.36796473850336,1.0283417086663182,0.060633685523999586,2.944332143680959
2,33,22.0,58.0,14.0,8.2,2.6,1.0,0.0,6,0.8,5.0,8.0,1,risk_based,I,5.0,130.0,10000.0,10,0.6,-11.808406557394846,0.9861507359390556,0.04777523117047349,2.9171673718092954
3,36,28.0,64.0,20.0,8.2,2.2,1.4,0.1,6,1.6,2.0,8.6,1,risk_based,I,5.0,130.0,10000.0,9,0.3333333333333333,59.41946446182919,1.0737158609218522,0.04140690141372949,2.762630482064345
3,36,14.0,64.0,18.0,8.2,2.8,1.2,0.05,4,1.2,2.5,8.8,1,risk_based,I,5.0,130.0,10000.0,7,0.42857142857142855,-193.62018713491852,0.7281816993322221,0.04058017481357053,1.923859829945957
4,21,26.0,64.0,24.0,8.2,2.0,1.2,0.05,3,1.8,4.0,8.6,1,risk_based,I,5.0,130.0,10000.0,7,0.2857142857142857,-153.74956993994965,0.8189536013727685,0.060970025874673796,1.8698189837529946
4,24,18.0,58.0,18.0,8.2,2.0,1.4,0.2,6,1.8,3.5,8.2,1,risk_based,I,5.0,130.0,10000.0,9,0.3333333333333333,-231.11864013550257,0.7558198831492781,0.05362505079581232,1.7996459737756165
4,27,22.0,58.0,14.0,8.2,2.6,0.8,0.0,6,1.0,4.0,8.2,1,risk_based,I,5.0,130.0,10000.0,9,0.5555555555555556,-305.1659720566331,0.6081267735838987,0.05595410964516927,1.75655857950899
3,24,28.0,60.0,18.0,8.2,2.8,1.4,0.0,2,1.8,4.0,8.0,1,risk_based,I,5.0,130.0,10000.0,10,0.4,-357.4973300861202,0.6391000595983894,0.06097002587467374,1.5377927114866374
