structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
4,21,26.0,64.0,24.0,8.2,2.0,1.2,0.05,3,1.8,4.0,8.6,1,risk_based,I,5.0,130.0,10000.0,1,1.0,592.6043991074275,10.0,0.0,22.112604399107425
5,24,24.0,66.0,24.0,8.2,2.0,1.0,0.1,3,0.8,4.0,8.8,1,risk_based,I,5.0,130.0,10000.0,1,1.0,592.6043991074275,10.0,0.0,22.112604399107425
4,33,14.0,66.0,24.0,7.2,2.6,1.0,0.05,5,1.4,3.0,8.8,1,risk_based,I,5.0,130.0,10000.0,20,0.7,2256.456783412663,3.668453763801741,0.04126359935849086,10.919573512940675
4,30,14.0,60.0,16.0,7.4,2.4,1.0,0.05,2,1.4,3.5,8.2,1,risk_based,I,5.0,130.0,10000.0,19,0.6842105263157895,2017.6300586588677,3.4196003011173866,0.0674645018229055,10.06075294489861
5,33,16.0,66.0,22.0,7.6,2.4,0.8,0.1,4,1.0,3.5,8.6,1,risk_based,I,5.0,130.0,10000.0,18,0.7777777777777778,1106.736438475269,3.7424016386749126,0.03918761616208481,10.000643534005505
5,27,30.0,64.0,18.0,6.8,2.0,1.2,0.1,5,0.8,4.5,8.0,1,risk_based,I,5.0,130.0,10000.0,18,0.7222222222222222,2857.2009476501134,2.744575906395684,0.09451999193648467,9.506126117965362
5,21,26.0,64.0,16.0,7.0,1.8,1.4,0.1,5,1.4,3.5,8.8,1,risk_based,I,5.0,130.0,10000.0,18,0.7222222222222222,1489.522680260803,3.3041278141276353,0.04799374772087156,9.397130398686791
4,27,26.0,64.0,24.0,7.4,2.6,1.4,0.05,2,1.2,4.0,8.8,1,risk_based,I,5.0,130.0,10000.0,15,0.5333333333333333,1902.7136572530908,3.2173772531642473,0.035439385497731735,9.331150007088391
5,33,30.0,66.0,22.0,7.8,2.2,1.0,0.1,3,1.2,3.5,8.0,1,risk_based,I,5.0,130.0,10000.0,19,0.7894736842105263,2544.6328349698124,2.775536661929095,0.13213633764800134,9.263507672199788
3,33,22.0,58.0,16.0,6.8,2.2,1.4,0.1,2,1.0,4.0,8.8,1,risk_based,I,5.0,130.0,10000.0,15,0.7333333333333333,974.6455461671449,3.392560283598309,0.029700999999999977,9.070663113363764
4,30,16.0,66.0,14.0,7.6,2.8,1.0,0.05,4,2.0,2.5,8.6,1,risk_based,I,5.0,130.0,10000.0,21,0.6666666666666666,2076.981254390146,2.5544823287391623,0.10881054507932798,8.279514276630486
5,18,26.0,62.0,20.0,7.8,2.2,0.8,0.05,4,1.4,4.5,8.4,1,risk_based,I,5.0,130.0,10000.0,18,0.7777777777777778,1064.710597919222,2.8834271319186815,0.05468590896747188,8.194173801520837
4,36,24.0,64.0,22.0,7.4,2.4,1.0,0.1,5,1.4,2.0,8.4,1,risk_based,I,5.0,130.0,10000.0,21,0.6666666666666666,1564.6609195663023,2.5771473281288304,0.05087316463407245,7.9863360819217455
4,36,28.0,64.0,24.0,7.4,2.2,1.4,0.0,4,1.0,3.0,8.2,1,risk_based,I,5.0,130.0,10000.0,17,0.5294117647058824,1199.859604871097,2.4952807664974155,0.039403990000000014,7.2063268149247515
4,36,26.0,66.0,24.0,8.0,2.6,1.4,0.05,5,1.4,3.0,8.0,1,risk_based,I,5.0,130.0,10000.0,15,0.5333333333333333,2218.890428386083,2.0533599511457608,0.0870186311991997,7.164554437080005
3,24,14.0,60.0,18.0,7.6,2.0,1.4,0.2,4,1.6,5.0,8.8,1,risk_based,I,5.0,130.0,10000.0,16,0.5625,1516.8205342225428,2.2862368814857805,0.031744000000000154,7.157812297194104
4,36,30.0,60.0,20.0,7.0,2.6,1.0,0.05,4,2.0,2.5,7.8,1,risk_based,I,5.0,130.0,10000.0,16,0.625,1585.7485293654172,2.2504956811631636,0.0797920732998057,7.1048636717923275
5,21,28.0,60.0,24.0,7.6,2.4,1.2,0.15,6,1.4,2.0,8.0,1,risk_based,I,5.0,130.0,10000.0,13,0.5384615384615384,1561.9363243533298,2.278443457975005,0.09607920319999999,6.898277938395646
5,30,12.0,58.0,14.0,7.2,2.6,0.8,0.1,6,1.6,2.5,8.4,1,risk_based,I,5.0,130.0,10000.0,15,0.7333333333333333,895.3218405064636,2.375735591802603,0.062480318464000144,6.8593520687196685
