structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score,dataset,dd_guardrail_pass
2,33,28.0,60.0,18.0,6.8,1.8,1.2,0.05,5,0.8,5.0,7.8,1,risk_based,I,5.0,130.0,10000.0,19,0.7894736842105263,9376.406049091645,7.795297693855504,0.05000000000000003,26.381211963118442,ETHUSDT_4h,1
2,36,12.0,58.0,16.0,7.4,1.8,1.0,0.05,3,1.4,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,20,0.8,7352.660672339309,4.419693635268772,0.0706298316065901,17.58015844805708,ETHUSDT_4h,1
2,33,28.0,62.0,24.0,7.0,2.0,1.2,0.0,2,1.8,4.0,8.0,1,risk_based,I,5.0,130.0,10000.0,16,0.8125,6751.125707234576,7.139351258812323,0.04000000000000007,22.448578224859222,ETHUSDT_4h,1
2,33,14.0,58.0,20.0,7.8,1.8,1.0,0.05,3,1.6,3.5,8.0,1,risk_based,I,5.0,130.0,10000.0,20,0.8,5750.501316815587,4.940421205620315,0.04739458611471276,17.089159969712078,ETHUSDT_4h,1
2,30,22.0,64.0,14.0,7.0,2.2,1.2,0.05,2,1.0,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,16,0.875,5708.000782473582,7.978923861280621,0.04,23.178348505034823,ETHUSDT_4h,1
2,30,14.0,60.0,20.0,7.0,2.6,1.0,0.2,6,0.8,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,18,0.6666666666666666,5208.230072466185,3.164833188985415,0.11500792290764784,12.55287268171407,ETHUSDT_4h,1
2,30,18.0,58.0,16.0,8.0,2.4,1.0,0.15,5,1.4,5.0,7.8,1,risk_based,I,5.0,130.0,10000.0,26,0.6538461538461539,4977.747548248975,1.9783907409275838,0.22077438442214395,9.772975107606943,ETHUSDT_4h,1
2,18,20.0,60.0,16.0,7.2,2.8,0.8,0.2,2,1.6,3.5,7.8,1,risk_based,I,5.0,130.0,10000.0,20,0.85,4928.361492900734,5.829906874069802,0.04491781203861108,18.128421804924503,ETHUSDT_4h,1
2,33,28.0,64.0,20.0,6.8,2.0,1.2,0.2,5,1.8,3.5,7.8,1,risk_based,I,5.0,130.0,10000.0,17,0.7647058823529411,4617.673198250008,4.336238412307091,0.03500000000000006,14.6722088463936,ETHUSDT_4h,1
3,18,22.0,58.0,22.0,7.4,2.6,1.0,0.0,2,1.8,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,15,0.7333333333333333,4463.698222982102,2.826304976534073,0.08797500000000001,11.252383176050248,ETHUSDT_4h,1
4,24,30.0,60.0,24.0,7.8,2.0,1.2,0.2,5,1.2,5.0,7.8,1,risk_based,I,5.0,130.0,10000.0,16,0.5625,3700.320225659618,1.883618328141665,0.22621906249999993,7.952649694442948,ETHUSDT_4h,1
4,36,12.0,60.0,24.0,8.0,2.2,1.2,0.05,3,2.0,3.0,7.8,1,risk_based,I,5.0,130.0,10000.0,18,0.6111111111111112,2966.9360052792817,3.208794221756672,0.04514679998797223,10.525750715495374,SOLUSDT_15m,1
3,18,22.0,58.0,22.0,7.4,2.6,1.0,0.0,2,1.8,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,14,0.7857142857142857,2895.825516121149,3.514636144948858,0.10309653368363202,11.074379633539397,ETHUSDT_1h,1
5,27,30.0,64.0,18.0,6.8,2.0,1.2,0.1,5,0.8,4.5,8.0,1,risk_based,I,5.0,130.0,10000.0,18,0.7222222222222222,2857.2009476501134,2.744575906395684,0.09451999193648467,9.506126117965362,SOLUSDT_1h,1
3,18,22.0,58.0,22.0,7.4,2.6,1.0,0.0,2,1.8,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,21,0.7619047619047619,2779.3055124098228,3.2217345582062906,0.04542226167358288,10.649364986658798,ETHUSDT_15m,1
2,33,28.0,60.0,18.0,6.8,1.8,1.2,0.05,5,0.8,5.0,7.8,1,risk_based,I,5.0,130.0,10000.0,27,0.5555555555555556,2620.8648350343265,1.7398299120574634,0.08922626223983762,7.206179205763074,ETHUSDT_1h,1
2,30,14.0,60.0,20.0,7.0,2.6,1.0,0.2,6,0.8,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,33,0.7575757575757576,2570.663831566866,2.378307516583018,0.05697165601254354,8.952727533058908,ETHUSDT_15m,1
5,27,30.0,60.0,24.0,8.0,2.4,1.4,0.05,3,1.8,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,12,0.6666666666666666,2556.095248928297,3.634113174153792,0.054082842273332155,10.902073070415886,SOLUSDT_15m,1
5,33,30.0,66.0,22.0,7.8,2.2,1.0,0.1,3,1.2,3.5,8.0,1,risk_based,I,5.0,130.0,10000.0,19,0.7894736842105263,2544.6328349698124,2.775536661929095,0.13213633764800134,9.263507672199788,SOLUSDT_1h,1
2,33,14.0,66.0,18.0,7.8,1.8,1.2,0.15,3,1.4,2.0,8.8,1,risk_based,I,5.0,130.0,10000.0,19,0.7894736842105263,2534.4322612407923,5.178409009930159,0.026664312859178082,14.375467868839367,ETHUSDT_4h,1
3,30,20.0,58.0,14.0,8.0,2.2,1.2,0.15,6,1.6,2.0,8.4,1,risk_based,I,5.0,130.0,10000.0,17,0.7058823529411765,2524.723321728894,4.480510458750809,0.03235296238629852,12.78750888148338,SOLUSDT_15m,1
4,33,24.0,60.0,20.0,7.2,2.6,0.8,0.15,6,1.6,4.5,7.8,1,risk_based,I,5.0,130.0,10000.0,16,0.6875,2443.2770829474666,1.8137510190263648,0.12622921185083746,7.043341485447685,ETHUSDT_4h,1
4,18,18.0,62.0,16.0,7.4,2.0,0.8,0.0,3,1.4,4.0,7.8,1,risk_based,I,5.0,130.0,10000.0,19,0.6842105263157895,2421.3823755298217,1.8312167492340596,0.11526399999999999,7.144339663471625,ETHUSDT_4h,1
4,36,24.0,62.0,20.0,7.6,1.8,1.4,0.0,6,0.8,3.0,8.0,1,risk_based,I,5.0,130.0,10000.0,14,0.6428571428571429,2409.176092556396,2.3388552855446876,0.11470719000000001,7.987050807931486,ETHUSDT_4h,1
5,33,16.0,64.0,16.0,7.6,2.6,1.4,0.15,5,2.0,4.5,8.6,1,risk_based,I,5.0,130.0,10000.0,18,0.7222222222222222,2382.6140357392287,3.350029782207476,0.0348442537918697,10.421474172111905,ETHUSDT_15m,1
2,33,28.0,62.0,24.0,7.0,2.0,1.2,0.0,2,1.8,4.0,8.0,1,risk_based,I,5.0,130.0,10000.0,29,0.5172413793103449,2320.674482380091,1.8998565181974836,0.08901666429196853,7.209199594864669,BTCUSDT_1h,1
5,33,20.0,66.0,24.0,7.6,2.4,1.4,0.15,3,1.4,4.0,8.0,1,risk_based,I,5.0,130.0,10000.0,12,0.6666666666666666,2317.5373787268763,3.3990504700915705,0.05408284227333203,10.193389792090022,SOLUSDT_15m,1
2,27,22.0,60.0,20.0,7.4,2.2,1.2,0.1,4,1.6,4.5,8.2,1,risk_based,I,5.0,130.0,10000.0,15,0.8666666666666667,2314.178670055544,8.453682922637759,0.016,20.773544515331064,ETHUSDT_4h,1
2,33,24.0,62.0,14.0,6.8,2.2,1.0,0.1,3,1.8,3.5,8.6,1,risk_based,I,5.0,130.0,10000.0,16,0.875,2301.516096225956,5.282791464105291,0.03500000000000006,14.394599024436538,ETHUSDT_4h,1
4,33,14.0,66.0,24.0,7.2,2.6,1.0,0.05,5,1.4,3.0,8.8,1,risk_based,I,5.0,130.0,10000.0,20,0.7,2256.456783412663,3.668453763801741,0.04126359935849086,10.919573512940675,SOLUSDT_1h,1
2,18,18.0,60.0,22.0,6.8,2.6,1.0,0.2,5,1.0,3.5,8.6,1,risk_based,I,5.0,130.0,10000.0,24,0.7083333333333334,2234.6541147776425,3.929694165833796,0.02934994704941322,11.548492605296996,ETHUSDT_4h,1
4,36,12.0,60.0,24.0,8.0,2.2,1.2,0.05,3,2.0,3.0,7.8,1,risk_based,I,5.0,130.0,10000.0,14,0.5714285714285714,2225.0601855709265,2.0430445710150513,0.14126597430000004,7.024494261843886,ETHUSDT_4h,1
2,21,20.0,66.0,24.0,7.6,2.4,0.8,0.15,4,1.8,3.5,8.2,1,risk_based,I,5.0,130.0,10000.0,32,0.65625,2222.340201536237,2.0420845827192684,0.08526110085902878,7.675101064397688,SOLUSDT_4h,1
4,36,26.0,66.0,24.0,8.0,2.6,1.4,0.05,5,1.4,3.0,8.0,1,risk_based,I,5.0,130.0,10000.0,15,0.5333333333333333,2218.890428386083,2.0533599511457608,0.0870186311991997,7.164554437080005,SOLUSDT_1h,1
4,36,12.0,60.0,24.0,8.0,2.2,1.2,0.05,3,2.0,3.0,7.8,1,risk_based,I,5.0,130.0,10000.0,24,0.7083333333333334,2194.0126827655167,2.147494465603603,0.06003143350429983,7.8514073134598235,ETHUSDT_15m,1
2,33,24.0,60.0,20.0,7.2,1.8,1.2,0.15,4,1.0,3.5,8.2,1,risk_based,I,5.0,130.0,10000.0,19,0.7894736842105263,2186.2508795725334,5.603478600235756,0.022715689381933246,14.889271538214036,ETHUSDT_4h,1
5,33,20.0,66.0,24.0,7.6,2.4,1.4,0.15,3,1.4,4.0,8.0,1,risk_based,I,5.0,130.0,10000.0,18,0.6666666666666666,2177.4902690434683,2.075981302164115,0.07754360804456871,7.456822049237992,ETHUSDT_15m,1
4,36,30.0,60.0,20.0,7.0,2.6,1.0,0.05,4,2.0,2.5,7.8,1,risk_based,I,5.0,130.0,10000.0,24,0.7916666666666666,2154.8571121357563,3.050964139518982,0.03426798793167479,9.821481427378698,ETHUSDT_15m,1
5,30,12.0,58.0,14.0,7.2,2.6,0.8,0.1,6,1.6,2.5,8.4,1,risk_based,I,5.0,130.0,10000.0,18,0.8333333333333334,2137.2701474829537,5.377027041817622,0.029224898047360184,14.413649536976116,ETHUSDT_15m,1
2,27,14.0,62.0,18.0,7.6,1.8,1.4,0.2,2,1.4,2.0,8.6,1,risk_based,I,5.0,130.0,10000.0,17,0.7647058823529411,2095.230897253121,4.485048129006772,0.026664312859178012,12.472393040218542,ETHUSDT_4h,1
4,36,24.0,62.0,20.0,7.6,1.8,1.4,0.0,6,0.8,3.0,8.0,1,risk_based,I,5.0,130.0,10000.0,22,0.6363636363636364,2092.690136536532,2.5818510501584657,0.05459418701904877,8.48715513034177,BTCUSDT_15m,1
2,36,18.0,60.0,18.0,7.0,2.0,1.0,0.05,6,0.8,2.5,7.8,1,risk_based,I,5.0,130.0,10000.0,17,0.7058823529411765,2091.613936753565,2.564028383893112,0.09601303499224592,8.330455128974815,ETHUSDT_4h,1
4,36,30.0,62.0,22.0,7.4,2.8,0.8,0.0,3,2.0,3.0,7.8,1,risk_based,I,5.0,130.0,10000.0,22,0.7727272727272727,2081.6045792151,2.865724417935436,0.04278548360269452,9.283787873368796,ETHUSDT_15m,1
4,30,16.0,66.0,14.0,7.6,2.8,1.0,0.05,4,2.0,2.5,8.6,1,risk_based,I,5.0,130.0,10000.0,21,0.6666666666666666,2076.981254390146,2.5544823287391623,0.10881054507932798,8.279514276630486,SOLUSDT_1h,1
