structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
5,32,26.0,66.0,22.0,6.6,2.6,0.6,0.0,5,2.0,3.5,7.8,1,risk_based,S,5.0,180.0,10000.0,20,0.7,1952.9743570272512,2.697715587431414,0.059705217502803436,8.61928987938167
6,36,32.0,68.0,14.0,7.8,2.2,1.2,0.1,8,3.0,6.0,8.0,1,risk_based,S,5.0,180.0,10000.0,18,0.6111111111111112,1855.3288494967146,2.143161669484625,0.06102857657402313,7.235233125410563
4,20,30.0,60.0,14.0,6.8,2.4,0.6,0.05,5,1.0,7.5,7.8,1,risk_based,S,5.0,180.0,10000.0,27,0.6666666666666666,1760.3259743744748,2.045293786568201,0.07174252743382813,7.175685965209392
5,32,24.0,60.0,12.0,8.0,2.4,0.6,0.0,6,1.5,7.0,8.0,1,risk_based,S,5.0,180.0,10000.0,23,0.7391304347826086,1433.8497630378697,2.132419259584105,0.09710799565113513,6.976059947426587
6,40,40.0,66.0,12.0,8.0,2.0,1.2,0.1,4,1.0,4.0,8.0,1,risk_based,S,5.0,180.0,10000.0,19,0.631578947368421,1526.2909014537345,1.9428820461722738,0.05882549377005342,6.562946933540753
3,32,24.0,70.0,22.0,7.8,2.6,0.8,0.15,3,3.0,7.0,7.6,1,risk_based,S,5.0,180.0,10000.0,27,0.7037037037037037,1370.4901436173586,1.7782650902729409,0.097550725913765,6.229923701977501
4,32,36.0,62.0,16.0,7.6,2.2,1.0,0.15,7,3.0,5.5,8.0,1,risk_based,S,5.0,180.0,10000.0,21,0.6190476190476191,1658.2655811935256,1.7255772280847974,0.1043936813485517,6.144810421888894
6,28,26.0,70.0,16.0,7.0,1.8,1.2,0.15,7,1.5,7.5,8.4,1,risk_based,S,5.0,180.0,10000.0,17,0.7647058823529411,787.7143056959994,1.9931926185806732,0.04458417310375882,6.127405847075481
6,32,16.0,68.0,12.0,7.8,2.6,1.0,0.2,4,1.0,3.5,7.8,1,risk_based,S,5.0,180.0,10000.0,21,0.6190476190476191,1546.413562673044,1.7424949236151128,0.09186057642810272,6.10439310919039
6,40,28.0,64.0,22.0,7.8,2.4,0.6,0.15,2,2.0,5.0,8.0,1,risk_based,S,5.0,180.0,10000.0,27,0.7777777777777778,1343.4100642826597,1.673698062225285,0.11204574609193808,6.061335617124083
5,40,34.0,70.0,12.0,7.0,2.4,0.8,0.05,5,2.5,5.0,8.6,1,risk_based,S,5.0,180.0,10000.0,23,0.6521739130434783,1119.4561073462537,1.8286875280195762,0.05428382616869524,6.052240554444539
6,20,18.0,66.0,12.0,7.8,2.0,1.2,0.1,5,3.0,8.0,8.6,1,risk_based,S,5.0,180.0,10000.0,19,0.631578947368421,1183.7072289257103,1.84290299211445,0.0588254937700534,6.020405152897082
4,44,34.0,64.0,20.0,8.0,2.6,0.8,0.1,5,1.0,5.0,7.8,1,risk_based,S,5.0,180.0,10000.0,24,0.6666666666666666,1220.4128220090497,1.7907703450885737,0.11026564997132904,5.95115656227221
6,32,30.0,62.0,22.0,8.0,2.6,1.2,0.15,8,1.0,3.5,8.0,1,risk_based,S,5.0,180.0,10000.0,19,0.5789473684210527,1492.0271628702212,1.7206158081031835,0.08540682585838663,5.925459354133007
5,36,20.0,70.0,16.0,7.2,2.6,1.0,0.2,5,2.0,3.0,7.6,1,risk_based,S,5.0,180.0,10000.0,22,0.5909090909090909,1260.7196069133242,1.652575551173465,0.08239260535687319,5.645056529553272
3,40,36.0,64.0,20.0,7.0,2.4,0.6,0.1,8,3.0,7.5,7.8,1,risk_based,S,5.0,180.0,10000.0,28,0.6428571428571429,1120.1372118779527,1.56148134681484,0.11402924661511951,5.425297879947989
5,24,34.0,66.0,18.0,8.0,1.8,1.0,0.05,3,3.0,7.0,8.0,1,risk_based,S,5.0,180.0,10000.0,23,0.6086956521739131,1143.1563135987726,1.51223185802508,0.06924033259294961,5.3329425101309536
5,44,34.0,68.0,16.0,7.2,2.6,0.6,0.0,7,1.5,5.0,7.6,1,risk_based,S,5.0,180.0,10000.0,26,0.7307692307692307,1018.773075836998,1.5594060867977435,0.14600967955493344,5.31571005692153
4,20,14.0,62.0,16.0,7.4,2.2,0.6,0.15,7,2.0,6.0,8.0,1,risk_based,S,5.0,180.0,10000.0,29,0.7241379310344828,1040.8224902895854,1.4892772318301182,0.1255095635043499,5.309055159988496
3,36,16.0,66.0,22.0,7.6,2.0,0.8,0.1,3,2.0,6.0,7.8,1,risk_based,S,5.0,180.0,10000.0,27,0.6296296296296297,1196.5057014197628,1.4226153475455012,0.12103038482876095,5.163089686468927
3,44,26.0,68.0,12.0,8.0,2.2,0.6,0.05,6,2.0,7.5,8.8,1,risk_based,S,5.0,180.0,10000.0,28,0.6071428571428571,876.0680714734808,1.5312584581190156,0.0897221294318734,5.140132885130178
4,28,26.0,60.0,22.0,7.6,2.4,1.0,0.0,7,2.0,7.0,8.0,1,risk_based,S,5.0,180.0,10000.0,21,0.5714285714285714,1188.9474601654329,1.5117412562396233,0.14132496070327227,5.06559794767772
6,36,26.0,64.0,14.0,7.0,2.4,1.2,0.0,8,1.0,3.5,7.8,1,risk_based,S,5.0,180.0,10000.0,19,0.5789473684210527,954.9860811857197,1.4651841802345682,0.09513036666895872,4.848384394279559
6,28,22.0,64.0,14.0,6.8,2.6,0.8,0.1,2,3.0,4.0,7.8,1,risk_based,S,5.0,180.0,10000.0,24,0.7083333333333334,836.7635581451414,1.3887736362282574,0.12847208896489934,4.771394563706959
3,20,36.0,64.0,14.0,7.2,1.8,0.6,0.2,2,3.0,6.0,7.6,1,risk_based,S,5.0,180.0,10000.0,38,0.6842105263157895,775.6054673932558,1.31131489229308,0.13950329215294172,4.766041164994275
3,36,22.0,66.0,18.0,8.0,2.0,0.8,0.0,4,2.5,3.5,8.8,1,risk_based,S,5.0,180.0,10000.0,28,0.5714285714285714,780.0689623049566,1.3955675763555013,0.07926288570991691,4.750558315029066
5,44,28.0,68.0,22.0,7.8,2.4,1.2,0.05,7,2.5,6.5,8.0,1,risk_based,S,5.0,180.0,10000.0,20,0.55,990.8550457854199,1.4429928147326685,0.1296715177125964,4.7128261221129675
3,32,14.0,70.0,20.0,6.6,2.0,0.8,0.0,8,1.0,3.0,7.8,1,risk_based,S,5.0,180.0,10000.0,27,0.5555555555555556,826.9192382774509,1.378241353247833,0.08395185066373582,4.704879726115243
5,44,40.0,60.0,14.0,7.8,2.0,1.0,0.05,3,2.0,3.5,7.6,1,risk_based,S,5.0,180.0,10000.0,24,0.625,781.0524376646536,1.3825779347631253,0.09239915384397508,4.6865108456589795
4,40,28.0,64.0,22.0,7.4,1.6,0.8,0.1,3,2.0,4.0,8.0,1,risk_based,S,5.0,180.0,10000.0,31,0.7419354838709677,538.5815104615122,1.2685516836824562,0.09515802884916136,4.523114017085391
3,24,16.0,60.0,16.0,6.8,2.4,0.8,0.1,7,2.5,4.5,8.4,1,risk_based,S,5.0,180.0,10000.0,27,0.6296296296296297,561.4635587844077,1.3660107234682448,0.09355206694916363,4.497273249317851
3,40,40.0,68.0,16.0,6.8,1.8,1.0,0.0,2,3.0,4.0,8.0,1,risk_based,S,5.0,180.0,10000.0,28,0.5714285714285714,757.0525515200061,1.3010254266791372,0.09745377718826777,4.483884930456334
6,36,32.0,70.0,12.0,6.8,2.6,1.2,0.05,8,2.5,4.0,7.6,1,risk_based,S,5.0,180.0,10000.0,18,0.4444444444444444,1017.2071203588639,1.3881348897039958,0.11621182129537365,4.471508102547402
5,24,14.0,62.0,20.0,6.8,1.6,1.2,0.0,8,3.0,4.0,7.8,1,risk_based,S,5.0,180.0,10000.0,24,0.5833333333333334,785.6801463411866,1.3094042019846726,0.09729491729116371,4.467603798437041
6,20,24.0,64.0,20.0,7.4,1.6,1.2,0.2,2,2.5,3.5,8.4,1,risk_based,S,5.0,180.0,10000.0,22,0.5909090909090909,682.8472010451387,1.3631254308453014,0.09204470652898723,4.459327579512417
6,40,20.0,68.0,18.0,7.0,2.6,0.6,0.1,6,3.0,5.5,7.6,1,risk_based,S,5.0,180.0,10000.0,29,0.7586206896551724,526.3583379252832,1.2426593143086977,0.1191952426088791,4.372022273198799
4,24,14.0,70.0,14.0,7.8,2.0,1.0,0.0,8,2.0,5.5,8.6,1,risk_based,S,5.0,180.0,10000.0,23,0.6086956521739131,595.5589077132281,1.3188348091673614,0.08028438432151905,4.3654188513442636
6,32,24.0,68.0,18.0,7.8,1.6,0.8,0.15,5,3.0,3.0,8.8,1,risk_based,S,5.0,180.0,10000.0,27,0.7407407407407407,376.7283704105266,1.2597213625306065,0.09134042907626884,4.273260919354044
3,36,36.0,60.0,14.0,7.2,2.0,0.6,0.05,3,1.5,7.0,7.6,1,risk_based,S,5.0,180.0,10000.0,30,0.6,647.0446170405139,1.2250033233973285,0.12253760243442312,4.229438456531901
6,40,28.0,60.0,14.0,7.4,2.4,0.8,0.1,5,2.5,3.5,7.6,1,risk_based,S,5.0,180.0,10000.0,24,0.6666666666666666,531.4841284225913,1.2663620483738978,0.1239328810949249,4.172409581885612
6,40,32.0,62.0,22.0,7.8,2.2,1.2,0.05,3,1.0,3.5,8.8,1,risk_based,S,5.0,180.0,10000.0,18,0.6666666666666666,261.0565618209148,1.3337149650981488,0.039734346571290664,4.169283452303341
6,36,14.0,60.0,12.0,7.0,2.4,0.6,0.1,6,3.0,4.0,8.2,1,risk_based,S,5.0,180.0,10000.0,31,0.7419354838709677,356.44754156713316,1.1887457756607882,0.10893866314217482,4.140026329268636
6,36,32.0,70.0,18.0,7.6,1.6,1.2,0.1,3,2.5,4.5,8.0,1,risk_based,S,5.0,180.0,10000.0,21,0.5714285714285714,610.6851620252437,1.2736671903984167,0.10951122199185552,4.106628733989368
6,28,34.0,66.0,22.0,7.0,2.2,0.8,0.2,7,2.0,7.5,8.8,1,risk_based,S,5.0,180.0,10000.0,27,0.7037037037037037,401.55679200767554,1.218340564066549,0.11873460972499594,4.077589646521341
6,32,14.0,64.0,16.0,7.8,2.2,0.8,0.15,3,2.0,6.0,8.2,1,risk_based,S,5.0,180.0,10000.0,30,0.7333333333333333,340.66773682793064,1.1855766296228945,0.12399601791546166,4.039832942327334
4,28,18.0,70.0,12.0,7.8,1.6,1.2,0.05,3,2.5,5.5,8.0,1,risk_based,S,5.0,180.0,10000.0,27,0.5925925925925926,536.7171867802208,1.2026725339826603,0.12754331446252293,3.9883212002468618
6,44,22.0,60.0,12.0,7.6,1.8,1.0,0.05,7,2.5,7.0,8.6,1,risk_based,S,5.0,180.0,10000.0,22,0.6818181818181818,339.4061541903611,1.204534130510571,0.08411334490325675,3.9588616532290053
5,44,24.0,62.0,20.0,6.8,1.8,1.0,0.0,6,1.0,5.0,8.4,1,risk_based,S,5.0,180.0,10000.0,23,0.6521739130434783,282.6685142461556,1.207636334780897,0.07177082687557493,3.920889572746442
4,20,26.0,66.0,22.0,8.0,2.0,0.6,0.05,4,2.0,6.5,7.6,1,risk_based,S,5.0,180.0,10000.0,32,0.65625,381.85178638024445,1.1428529553035343,0.15090143170463136,3.8392284018734193
5,28,24.0,68.0,12.0,7.0,1.8,0.8,0.15,7,1.5,4.5,7.6,1,risk_based,S,5.0,180.0,10000.0,27,0.7407407407407407,253.87480006257465,1.116540095773182,0.11581448469969878,3.7906226486209533
4,40,24.0,60.0,14.0,6.6,2.0,1.2,0.1,2,1.5,7.5,8.6,1,risk_based,S,5.0,180.0,10000.0,21,0.6190476190476191,298.51706937954077,1.181617267839267,0.08227781122637762,3.7634895999503706
4,44,14.0,68.0,14.0,7.2,1.8,1.2,0.0,6,1.5,6.5,8.6,1,risk_based,S,5.0,180.0,10000.0,24,0.625,267.40857356178094,1.1586149469147666,0.08110403303829596,3.7588263682764262
