structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
3,44,34.0,64.0,20.0,6.6,1.8,1.2,0.2,7,2.5,5.0,7.8,1,risk_based,S,5.0,180.0,10000.0,27,0.5185185185185185,3805.394828175078,2.0360334500192225,0.13886845587786067,8.778634138357717
3,32,14.0,70.0,20.0,6.6,2.0,0.8,0.0,8,1.0,3.0,7.8,1,risk_based,S,5.0,180.0,10000.0,28,0.5714285714285714,2105.631878175962,1.6633896826919694,0.12283269862011902,6.481056004842401
3,40,36.0,60.0,22.0,7.4,2.6,1.0,0.0,4,2.5,4.0,8.2,1,risk_based,S,5.0,180.0,10000.0,24,0.5833333333333334,1821.3975851602008,1.7343201526532706,0.12239251192700186,6.277860354685737
3,32,28.0,60.0,20.0,6.6,1.8,0.8,0.2,4,1.0,4.5,7.6,1,risk_based,S,5.0,180.0,10000.0,32,0.65625,1456.1488189219635,1.4330728581850982,0.14324232705767628,5.516942554119131
3,28,30.0,66.0,22.0,7.6,1.6,1.0,0.0,8,2.5,6.5,7.6,1,risk_based,S,5.0,180.0,10000.0,29,0.5862068965517241,1503.8332167065728,1.3666169474343932,0.15359538600859607,5.235591298377157
4,28,26.0,60.0,22.0,7.6,2.4,1.0,0.0,7,2.0,7.0,8.0,1,risk_based,S,5.0,180.0,10000.0,23,0.6086956521739131,1312.4648801990334,1.378778162684804,0.14870297354505496,4.996955763194346
6,28,22.0,64.0,14.0,6.8,2.6,0.8,0.1,2,3.0,4.0,7.8,1,risk_based,S,5.0,180.0,10000.0,22,0.5454545454545454,1364.108486486799,1.389807698739198,0.18237734298527247,4.854773673191196
6,32,16.0,68.0,12.0,7.8,2.6,1.0,0.2,4,1.0,3.5,7.8,1,risk_based,S,5.0,180.0,10000.0,20,0.55,1291.201194422907,1.4154359644175714,0.1767806490907753,4.8167311759857245
3,40,30.0,62.0,16.0,6.6,1.6,1.0,0.05,7,2.5,3.5,8.8,1,risk_based,S,5.0,180.0,10000.0,31,0.5806451612903226,865.1051663661347,1.3111829001582815,0.13173436393508803,4.583235616812917
4,32,36.0,62.0,16.0,7.6,2.2,1.0,0.15,7,3.0,5.5,8.0,1,risk_based,S,5.0,180.0,10000.0,24,0.5416666666666666,1111.183010556144,1.2717599691662411,0.22537473970411093,4.271078729776294
3,24,16.0,60.0,16.0,6.8,2.4,0.8,0.1,7,2.5,4.5,8.4,1,risk_based,S,5.0,180.0,10000.0,27,0.6666666666666666,479.9615253105694,1.2423526161135925,0.1407702509130517,4.0823560047986
3,36,16.0,66.0,22.0,7.6,2.0,0.8,0.1,3,2.0,6.0,7.8,1,risk_based,S,5.0,180.0,10000.0,28,0.6071428571428571,619.5460444900964,1.1608337486888143,0.13686143592138103,4.001343519817867
3,36,22.0,66.0,18.0,8.0,2.0,0.8,0.0,4,2.5,3.5,8.8,1,risk_based,S,5.0,180.0,10000.0,31,0.5483870967741935,528.0544339656171,1.1674722642487922,0.17297892255127142,3.7866428399706775
3,40,40.0,68.0,16.0,6.8,1.8,1.0,0.0,2,3.0,4.0,8.0,1,risk_based,S,5.0,180.0,10000.0,37,0.5405405405405406,518.8194194623411,1.1113827776208027,0.19923965112760691,3.694676832131937
6,32,30.0,62.0,22.0,8.0,2.6,1.2,0.15,8,1.0,3.5,8.0,1,risk_based,S,5.0,180.0,10000.0,18,0.4444444444444444,691.4463923479198,1.2220522521675052,0.17669223597942788,3.6321408554113126
6,28,36.0,64.0,18.0,6.8,2.2,0.8,0.1,2,2.5,3.0,8.4,1,risk_based,S,5.0,180.0,10000.0,27,0.5555555555555556,427.0617573294712,1.1523993335991474,0.1656808366203718,3.608151247999984
6,32,24.0,68.0,18.0,7.8,1.6,0.8,0.15,5,3.0,3.0,8.8,1,risk_based,S,5.0,180.0,10000.0,23,0.5652173913043478,451.01260579400514,1.1588405586041548,0.15639034997650814,3.607348760029312
4,40,22.0,62.0,14.0,7.0,1.6,0.6,0.05,5,3.0,3.5,8.2,1,risk_based,S,5.0,180.0,10000.0,33,0.6363636363636364,256.19541323511294,1.0853987962643377,0.1545429648174338,3.5779095658569413
3,32,24.0,70.0,22.0,7.8,2.6,0.8,0.15,3,3.0,7.0,7.6,1,risk_based,S,5.0,180.0,10000.0,24,0.5833333333333334,427.8797509355263,1.1240829969385833,0.19084854061812032,3.458500122958332
3,20,36.0,64.0,14.0,7.2,1.8,0.6,0.2,2,3.0,6.0,7.6,1,risk_based,S,5.0,180.0,10000.0,39,0.6923076923076923,149.38238520141022,1.0410009802964553,0.21429377739401806,3.4069645520738048
6,36,32.0,70.0,12.0,6.8,2.6,1.2,0.05,8,2.5,4.0,7.6,1,risk_based,S,5.0,180.0,10000.0,22,0.45454545454545453,455.4909479741382,1.1305083845349326,0.1945164493685692,3.254776550756477
6,40,28.0,60.0,14.0,7.4,2.4,0.8,0.1,5,2.5,3.5,7.6,1,risk_based,S,5.0,180.0,10000.0,20,0.6,113.0216978839253,1.0467762679552275,0.15150481654615047,3.0520597841559285
