structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
6,28,22.0,64.0,14.0,6.8,2.6,0.8,0.1,2,3.0,4.0,7.8,1,risk_based,S,5.0,180.0,10000.0,16,1.0,4198.2242000683345,10.0,0.0,26.018224200068335
6,24,20.0,64.0,14.0,6.6,2.4,0.6,0.1,2,1.0,7.5,8.2,1,risk_based,S,5.0,180.0,10000.0,20,0.95,1006.3874967026277,10.352134605294742,0.00999999999999996,23.505656707292108
3,32,24.0,70.0,22.0,7.8,2.6,0.8,0.15,3,3.0,7.0,7.6,1,risk_based,S,5.0,180.0,10000.0,26,0.8076923076923077,3693.550374481294,4.6123963071757945,0.04014046702577508,14.52946004929402
6,40,20.0,68.0,18.0,7.0,2.6,0.6,0.1,6,3.0,5.5,7.6,1,risk_based,S,5.0,180.0,10000.0,20,0.95,2321.6068345074127,4.890413863267184,0.049999999999999975,13.77743456104178
6,44,22.0,60.0,12.0,7.6,1.8,1.0,0.05,7,2.5,7.0,8.6,1,risk_based,S,5.0,180.0,10000.0,21,0.9047619047619048,2114.289763877732,4.846889250682717,0.025,13.510211122386025
6,36,14.0,60.0,12.0,7.0,2.4,0.6,0.1,6,3.0,4.0,8.2,1,risk_based,S,5.0,180.0,10000.0,26,0.8846153846153846,2081.573825018977,3.984003718458674,0.03000000000000004,11.806504338859401
3,40,36.0,60.0,22.0,7.4,2.6,1.0,0.0,4,2.5,4.0,8.2,1,risk_based,S,5.0,180.0,10000.0,22,0.8181818181818182,2843.8800116948987,3.68305321966841,0.04755453969538078,11.7345955592183
5,44,24.0,62.0,20.0,6.8,1.8,1.0,0.0,6,1.0,5.0,8.4,1,risk_based,S,5.0,180.0,10000.0,23,0.782608695652174,1498.7898514797944,4.172982844545262,0.014628987050304335,11.434781622897669
6,36,32.0,70.0,12.0,6.8,2.6,1.2,0.05,8,2.5,4.0,7.6,1,risk_based,S,5.0,180.0,10000.0,21,0.7619047619047619,3738.8868060202767,3.15833669573334,0.07840000000000001,11.383217340344098
4,44,16.0,66.0,16.0,8.0,2.6,1.0,0.05,4,2.0,4.5,8.6,1,risk_based,S,5.0,180.0,10000.0,24,0.7916666666666666,2426.2743062060727,3.6916862642790234,0.041530936124415,11.352554026390875
6,40,28.0,60.0,14.0,7.4,2.4,0.8,0.1,5,2.5,3.5,7.6,1,risk_based,S,5.0,180.0,10000.0,20,0.85,2584.4407760259637,3.411555894636785,0.056197475559522404,10.913960138620968
5,36,20.0,70.0,16.0,7.2,2.6,1.0,0.2,5,2.0,3.0,7.6,1,risk_based,S,5.0,180.0,10000.0,22,0.7727272727272727,2686.8381727150645,3.27269744371025,0.049235166166665255,10.683618470726477
