structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
6,32,14.0,64.0,16.0,7.8,2.2,0.8,0.15,3,2.0,6.0,8.2,1,risk_based,S,5.0,180.0,10000.0,9,0.8888888888888888,1650.0062918801978,8.245294101364882,0.019999999999999934,19.593927827943297
6,40,32.0,62.0,22.0,7.8,2.2,1.2,0.05,3,1.0,3.5,8.8,1,risk_based,S,5.0,180.0,10000.0,7,0.8571428571428571,801.1217182910641,8.504395869920598,0.01,19.205627743846545
6,40,28.0,64.0,22.0,7.8,2.4,0.6,0.15,2,2.0,5.0,8.0,1,risk_based,S,5.0,180.0,10000.0,10,0.9,3425.1092197682483,6.429104747195974,0.04999999999999995,17.683318714160198
6,24,20.0,64.0,14.0,6.6,2.4,0.6,0.1,2,1.0,7.5,8.2,1,risk_based,S,5.0,180.0,10000.0,12,0.9166666666666666,664.8663687933622,7.319956638183565,0.010000000000000054,16.88977964516049
6,32,26.0,70.0,20.0,7.4,2.0,0.8,0.0,4,2.5,4.5,8.8,1,risk_based,S,5.0,180.0,10000.0,14,0.8571428571428571,2132.6516035156255,4.553494181430238,0.04937499999999992,12.657229252090387
5,40,34.0,70.0,12.0,7.0,2.4,0.8,0.05,5,2.5,5.0,8.6,1,risk_based,S,5.0,180.0,10000.0,16,0.875,2005.4085890964816,4.40102609213723,0.025000000000000078,12.36496077337094
6,36,32.0,68.0,14.0,7.8,2.2,1.2,0.1,8,3.0,6.0,8.0,1,risk_based,S,5.0,180.0,10000.0,7,0.7142857142857143,3707.037249580957,3.7787465126390627,0.0974999999999999,12.183458846287653
6,28,36.0,64.0,18.0,6.8,2.2,0.8,0.1,2,2.5,3.0,8.4,1,risk_based,S,5.0,180.0,10000.0,10,0.8,1783.314844105209,4.2408825142878435,0.025000000000000005,11.590079872680896
6,28,34.0,66.0,22.0,7.0,2.2,0.8,0.2,7,2.0,7.5,8.8,1,risk_based,S,5.0,180.0,10000.0,12,0.8333333333333334,1491.624253664173,4.2943204336278615,0.03507260797182209,11.46504729700443
4,28,38.0,70.0,20.0,7.2,2.2,0.6,0.2,3,1.5,5.0,8.8,1,risk_based,S,5.0,180.0,10000.0,19,0.8947368421052632,1128.7510010286624,4.310205546509331,0.026741132239420613,11.391043960486957
4,40,28.0,64.0,22.0,7.4,1.6,0.8,0.1,3,2.0,4.0,8.0,1,risk_based,S,5.0,180.0,10000.0,20,0.75,4306.902619767865,2.6036619981799114,0.07840000000000001,10.804026616127686
4,20,22.0,64.0,12.0,7.6,1.8,0.8,0.0,4,3.0,6.0,8.4,1,risk_based,S,5.0,180.0,10000.0,17,0.7647058823529411,3229.916411594979,3.1201912202479933,0.059099999999999986,10.780057675620377
6,36,26.0,64.0,14.0,7.0,2.4,1.2,0.0,8,1.0,3.5,7.8,1,risk_based,S,5.0,180.0,10000.0,7,0.7142857142857143,2146.255990603775,3.593536714201862,0.06877500000000013,10.33843299043607
6,40,28.0,60.0,14.0,7.4,2.4,0.8,0.1,5,2.5,3.5,7.6,1,risk_based,S,5.0,180.0,10000.0,9,0.7777777777777778,1877.809276660375,3.3204298444561116,0.06877500000000004,9.659010632239264
3,40,36.0,60.0,22.0,7.4,2.6,1.0,0.0,4,2.5,4.0,8.2,1,risk_based,S,5.0,180.0,10000.0,15,0.7333333333333333,2381.3072683551054,3.0052830197475715,0.04937500000000006,9.643748307850249
6,40,40.0,66.0,12.0,8.0,2.0,1.2,0.1,4,1.0,4.0,8.0,1,risk_based,S,5.0,180.0,10000.0,13,0.6923076923076923,3489.9086558557137,2.5751963105882085,0.15065343999999994,9.486802495493668
4,24,30.0,66.0,14.0,7.8,1.8,1.0,0.15,3,1.0,6.5,8.8,1,risk_based,S,5.0,180.0,10000.0,17,0.6470588235294118,1428.2900357714243,3.1918908594509023,0.029701000000000026,9.033556989967346
4,24,40.0,62.0,14.0,7.8,1.6,0.8,0.1,8,2.5,8.0,8.8,1,risk_based,S,5.0,180.0,10000.0,19,0.6842105263157895,2720.745778872506,2.5133545782959295,0.049375000000000016,9.00564572493805
4,44,34.0,64.0,20.0,8.0,2.6,0.8,0.1,5,1.0,5.0,7.8,1,risk_based,S,5.0,180.0,10000.0,16,0.75,3361.0364327749157,2.1779829938310487,0.09629104407496217,8.873129288212127
4,40,22.0,62.0,14.0,7.0,1.6,0.6,0.05,5,3.0,3.5,8.2,1,risk_based,S,5.0,180.0,10000.0,22,0.7272727272727273,2722.48880245741,2.230209987675806,0.05910000000000009,8.53651786871811
5,28,24.0,68.0,12.0,7.0,1.8,0.8,0.15,7,1.5,4.5,7.6,1,risk_based,S,5.0,180.0,10000.0,20,0.75,2573.9500972742608,2.1214522998051293,0.04500000000000006,8.20685469688452
6,40,20.0,68.0,18.0,7.0,2.6,0.6,0.1,6,3.0,5.5,7.6,1,risk_based,S,5.0,180.0,10000.0,13,0.8461538461538461,1619.424639800889,2.4564062291307738,0.05000000000000005,7.911467867293205
6,20,18.0,66.0,12.0,7.8,2.0,1.2,0.1,5,3.0,8.0,8.6,1,risk_based,S,5.0,180.0,10000.0,13,0.6923076923076923,2307.2258025342217,2.295840278582917,0.13296065000000004,7.798485948161593
5,24,34.0,66.0,18.0,8.0,1.8,1.0,0.05,3,3.0,7.0,8.0,1,risk_based,S,5.0,180.0,10000.0,17,0.7058823529411765,2993.9229280520904,1.9058362833818865,0.1854937499999999,7.6479377742276275
4,20,30.0,60.0,14.0,6.8,2.4,0.6,0.05,5,1.0,7.5,7.8,1,risk_based,S,5.0,180.0,10000.0,20,0.75,2736.105271867058,1.9099315222300206,0.18293933267456264,7.532150318303412
4,28,18.0,70.0,12.0,7.8,1.6,1.2,0.05,3,2.5,5.5,8.0,1,risk_based,S,5.0,180.0,10000.0,20,0.55,3698.348504651536,1.6379965231141036,0.2262190625,7.520684363379744
6,36,14.0,60.0,12.0,7.0,2.4,0.6,0.1,6,3.0,4.0,8.2,1,risk_based,S,5.0,180.0,10000.0,14,0.7857142857142857,1306.523756663013,2.3580513551835214,0.057406380000000305,7.308978755601484
5,44,34.0,68.0,16.0,7.2,2.6,0.6,0.0,7,1.5,5.0,7.6,1,risk_based,S,5.0,180.0,10000.0,15,0.8666666666666667,1524.0224999999991,2.2241365807815803,0.09750000000000007,7.279795661563159
6,28,22.0,64.0,14.0,6.8,2.6,0.8,0.1,2,3.0,4.0,7.8,1,risk_based,S,5.0,180.0,10000.0,11,0.8181818181818182,1305.559691803479,2.3615558023031737,0.07295089326253344,7.257091343894953
4,32,36.0,62.0,16.0,7.6,2.2,1.0,0.15,7,3.0,5.5,8.0,1,risk_based,S,5.0,180.0,10000.0,12,0.6666666666666666,2409.8068941071033,1.9989423404940954,0.14262500000000009,7.219816575095294
4,20,14.0,62.0,16.0,7.4,2.2,0.6,0.15,7,2.0,6.0,8.0,1,risk_based,S,5.0,180.0,10000.0,12,0.75,1803.3595858654826,1.9883484893308894,0.09630741644170325,6.856134315202152
4,20,26.0,66.0,22.0,8.0,2.0,0.6,0.05,4,2.0,6.5,7.6,1,risk_based,S,5.0,180.0,10000.0,20,0.8,1975.432193638655,1.7612938182544704,0.1410694480628078,6.674811485959173
6,36,32.0,70.0,18.0,7.6,1.6,1.2,0.1,3,2.5,4.5,8.0,1,risk_based,S,5.0,180.0,10000.0,16,0.625,2352.3374334728123,1.7214024048421315,0.12901612499999995,6.665593868157075
6,36,18.0,64.0,20.0,7.8,1.8,0.8,0.1,5,2.0,6.5,8.4,1,risk_based,S,5.0,180.0,10000.0,20,0.7,1369.8440799863765,1.9750020460465343,0.062145833299098584,6.58341067218215
5,44,40.0,60.0,14.0,7.8,2.0,1.0,0.05,3,2.0,3.5,7.6,1,risk_based,S,5.0,180.0,10000.0,17,0.6470588235294118,2131.0749862646244,1.7807768713356278,0.16317129939687502,6.513703066039373
