structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
4,44,34.0,66.0,20.0,6.8,2.2,1.2,0.2,5,3.0,5.0,8.4,1,risk_based,S,5.0,180.0,10000.0,19,0.6842105263157895,3509.1860430228644,3.436431684036789,0.0523204130131934,11.631403961530548
5,44,28.0,68.0,22.0,7.8,2.4,1.2,0.05,7,2.5,6.5,8.0,1,risk_based,S,5.0,180.0,10000.0,12,0.6666666666666666,3155.9515154890905,3.627936868236901,0.07186019831189057,11.43624465702722
6,36,32.0,68.0,14.0,7.8,2.2,1.2,0.1,8,3.0,6.0,8.0,1,risk_based,S,5.0,180.0,10000.0,15,0.6,3848.298939993145,3.0359248657739553,0.07186019831189054,10.904568076605385
6,32,30.0,62.0,22.0,8.0,2.6,1.2,0.15,8,1.0,3.5,8.0,1,risk_based,S,5.0,180.0,10000.0,12,0.5833333333333334,3129.269949724059,3.141947840825197,0.0572053593378678,10.356549553360852
6,40,40.0,66.0,12.0,8.0,2.0,1.2,0.1,4,1.0,4.0,8.0,1,risk_based,S,5.0,180.0,10000.0,20,0.65,3014.3912747404484,2.44618823909142,0.062090305662542,9.095496835935663
5,32,26.0,66.0,22.0,6.6,2.6,0.6,0.0,5,2.0,3.5,7.8,1,risk_based,S,5.0,180.0,10000.0,25,0.76,2458.5606646426604,2.370981815493142,0.057205359337867696,8.668908217615341
6,36,32.0,70.0,18.0,7.6,1.6,1.2,0.1,3,2.5,4.5,8.0,1,risk_based,S,5.0,180.0,10000.0,19,0.6842105263157895,2704.005949869832,2.3545548069662434,0.06697525198721632,8.618505597314355
6,20,18.0,66.0,12.0,7.8,2.0,1.2,0.1,5,3.0,8.0,8.6,1,risk_based,S,5.0,180.0,10000.0,19,0.631578947368421,2551.7393824438623,2.389974824521442,0.05232041301319344,8.502096213499799
6,36,32.0,70.0,12.0,6.8,2.6,1.2,0.05,8,2.5,4.0,7.6,1,risk_based,S,5.0,180.0,10000.0,18,0.5,3023.174044928448,2.2401629316418963,0.11310169714248695,8.27419481678478
4,40,32.0,68.0,18.0,7.2,2.2,1.2,0.05,2,1.0,8.0,8.2,1,risk_based,S,5.0,180.0,10000.0,15,0.6666666666666666,1404.8019165841397,2.764886147733661,0.03278062771449641,8.136232328907973
3,20,36.0,64.0,14.0,7.2,1.8,0.6,0.2,2,3.0,6.0,7.6,1,risk_based,S,5.0,180.0,10000.0,34,0.8235294117647058,2103.595649125362,2.024032407394545,0.06048747449297267,7.885492158082592
5,40,34.0,70.0,12.0,7.0,2.4,0.8,0.05,5,2.5,5.0,8.6,1,risk_based,S,5.0,180.0,10000.0,27,0.7407407407407407,1859.6718545758886,2.3058027661979117,0.08939852810001869,7.854192913782767
6,32,26.0,70.0,20.0,7.4,2.0,0.8,0.0,4,2.5,4.5,8.8,1,risk_based,S,5.0,180.0,10000.0,23,0.7391304347826086,1842.1491910906807,2.29562066625554,0.05680636901679019,7.831667068725303
6,28,36.0,64.0,18.0,6.8,2.2,0.8,0.1,2,2.5,3.0,8.4,1,risk_based,S,5.0,180.0,10000.0,30,0.6666666666666666,2252.1593215281264,2.0131018652554724,0.07911557917503058,7.64101631451398
6,28,34.0,66.0,22.0,7.0,2.2,0.8,0.2,7,2.0,7.5,8.8,1,risk_based,S,5.0,180.0,10000.0,26,0.6923076923076923,1879.155613915529,2.1123926995546825,0.056156385859217575,7.4939333939087795
6,40,28.0,60.0,14.0,7.4,2.4,0.8,0.1,5,2.5,3.5,7.6,1,risk_based,S,5.0,180.0,10000.0,25,0.68,2240.8761835651458,2.0109075792519353,0.10545087493560039,7.466338717262215
6,36,18.0,64.0,20.0,7.8,1.8,0.8,0.1,5,2.0,6.5,8.4,1,risk_based,S,5.0,180.0,10000.0,24,0.7083333333333334,1687.227264447938,2.2057627410241016,0.06375777312979199,7.449979427106765
6,28,22.0,64.0,14.0,6.8,2.6,0.8,0.1,2,3.0,4.0,7.8,1,risk_based,S,5.0,180.0,10000.0,27,0.6296296296296297,2425.5285564569913,1.8710493743702632,0.10741414457216636,7.329829315925464
