structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
5,44,24.0,62.0,20.0,6.8,1.8,1.0,0.0,6,1.0,5.0,8.4,1,risk_based,S,5.0,180.0,10000.0,17,0.7058823529411765,1132.5225351773515,3.205237629206807,0.019899999999999956,8.88212132300273
5,24,14.0,62.0,20.0,6.8,1.6,1.2,0.0,8,3.0,4.0,7.8,1,risk_based,S,5.0,180.0,10000.0,15,0.7333333333333333,2323.5178907953086,2.3002599492083196,0.040000000000000036,8.204037789211947
4,28,18.0,70.0,12.0,7.8,1.6,1.2,0.05,3,2.5,5.5,8.0,1,risk_based,S,5.0,180.0,10000.0,19,0.6842105263157895,2627.536504315187,1.7494368922343067,0.1422295775823544,7.106037345510421
5,24,34.0,66.0,18.0,8.0,1.8,1.0,0.05,3,3.0,7.0,8.0,1,risk_based,S,5.0,180.0,10000.0,16,0.6875,1924.463286308801,1.726842950216458,0.09749999999999989,6.436899186741718
5,28,24.0,68.0,12.0,7.0,1.8,0.8,0.15,7,1.5,4.5,7.6,1,risk_based,S,5.0,180.0,10000.0,16,0.6875,1776.1506620731761,1.7481826388856296,0.08797500000000001,6.359840939844435
4,40,22.0,62.0,14.0,7.0,1.6,0.6,0.05,5,3.0,3.5,8.2,1,risk_based,S,5.0,180.0,10000.0,27,0.8148148148148148,913.0369320819937,1.5924931284449375,0.08669701344148514,5.600154370869636
5,32,30.0,60.0,16.0,7.4,1.8,1.2,0.2,6,2.0,6.5,8.2,1,risk_based,S,5.0,180.0,10000.0,14,0.6428571428571429,803.8452504623419,1.762991279865496,0.03959999999999996,5.455313524479049
4,24,14.0,70.0,14.0,7.8,2.0,1.0,0.0,8,2.0,5.5,8.6,1,risk_based,S,5.0,180.0,10000.0,20,0.65,741.7547581304261,1.5077067814307443,0.039599999999999955,5.0133683209919155
5,28,22.0,68.0,22.0,7.4,2.4,0.6,0.2,3,1.0,4.5,8.6,1,risk_based,S,5.0,180.0,10000.0,22,0.7727272727272727,258.37805179212955,1.514228112205305,0.019541534638518286,4.827300581378094
5,32,24.0,62.0,18.0,7.6,2.0,1.2,0.1,8,2.5,5.0,8.8,1,risk_based,S,5.0,180.0,10000.0,11,0.6363636363636364,471.1241416586581,1.465819335618464,0.049374999999999974,4.42918326744104
