structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score,dataset
6,28,22.0,64.0,14.0,6.8,2.6,0.8,0.1,2,3.0,4.0,7.8,1,risk_based,S,5.0,180.0,10000.0,16,1.0,4198.2242000683345,10.0,0.0,26.018224200068335,ETHUSDT_15m
6,24,20.0,64.0,14.0,6.6,2.4,0.6,0.1,2,1.0,7.5,8.2,1,risk_based,S,5.0,180.0,10000.0,20,0.95,1006.3874967026277,10.352134605294742,0.00999999999999996,23.505656707292108,ETHUSDT_15m
5,44,24.0,62.0,20.0,6.8,1.8,1.0,0.0,6,1.0,5.0,8.4,1,risk_based,S,5.0,180.0,10000.0,18,0.8888888888888888,1713.851612183622,9.460038957970703,0.019899999999999855,22.26756286145836,SOLUSDT_1h
6,32,14.0,64.0,16.0,7.8,2.2,0.8,0.15,3,2.0,6.0,8.2,1,risk_based,S,5.0,180.0,10000.0,9,0.8888888888888888,1650.0062918801978,8.245294101364882,0.019999999999999934,19.593927827943297,ETHUSDT_4h
6,40,32.0,62.0,22.0,7.8,2.2,1.2,0.05,3,1.0,3.5,8.8,1,risk_based,S,5.0,180.0,10000.0,7,0.8571428571428571,801.1217182910641,8.504395869920598,0.01,19.205627743846545,ETHUSDT_4h
6,40,28.0,64.0,22.0,7.8,2.4,0.6,0.15,2,2.0,5.0,8.0,1,risk_based,S,5.0,180.0,10000.0,10,0.9,3425.1092197682483,6.429104747195974,0.04999999999999995,17.683318714160198,ETHUSDT_4h
6,24,20.0,64.0,14.0,6.6,2.4,0.6,0.1,2,1.0,7.5,8.2,1,risk_based,S,5.0,180.0,10000.0,12,0.9166666666666666,664.8663687933622,7.319956638183565,0.010000000000000054,16.88977964516049,ETHUSDT_4h
3,32,24.0,70.0,22.0,7.8,2.6,0.8,0.15,3,3.0,7.0,7.6,1,risk_based,S,5.0,180.0,10000.0,26,0.8076923076923077,3693.550374481294,4.6123963071757945,0.04014046702577508,14.52946004929402,ETHUSDT_15m
6,40,20.0,68.0,18.0,7.0,2.6,0.6,0.1,6,3.0,5.5,7.6,1,risk_based,S,5.0,180.0,10000.0,20,0.95,2321.6068345074127,4.890413863267184,0.049999999999999975,13.77743456104178,ETHUSDT_15m
6,44,22.0,60.0,12.0,7.6,1.8,1.0,0.05,7,2.5,7.0,8.6,1,risk_based,S,5.0,180.0,10000.0,21,0.9047619047619048,2114.289763877732,4.846889250682717,0.025,13.510211122386025,ETHUSDT_15m
4,40,24.0,60.0,14.0,6.6,2.0,1.2,0.1,2,1.5,7.5,8.6,1,risk_based,S,5.0,180.0,10000.0,20,0.8,2231.0680327846185,4.573642153211537,0.029775000000000103,12.889027339207694,SOLUSDT_1h
5,36,20.0,70.0,16.0,7.2,2.6,1.0,0.2,5,2.0,3.0,7.6,1,risk_based,S,5.0,180.0,10000.0,15,0.8,3059.253934381286,4.246856438276,0.08609352479679863,12.794686236542889,SOLUSDT_1h
6,32,26.0,70.0,20.0,7.4,2.0,0.8,0.0,4,2.5,4.5,8.8,1,risk_based,S,5.0,180.0,10000.0,14,0.8571428571428571,2132.6516035156255,4.553494181430238,0.04937499999999992,12.657229252090387,ETHUSDT_4h
5,40,34.0,70.0,12.0,7.0,2.4,0.8,0.05,5,2.5,5.0,8.6,1,risk_based,S,5.0,180.0,10000.0,16,0.875,2005.4085890964816,4.40102609213723,0.025000000000000078,12.36496077337094,ETHUSDT_4h
6,36,32.0,68.0,14.0,7.8,2.2,1.2,0.1,8,3.0,6.0,8.0,1,risk_based,S,5.0,180.0,10000.0,7,0.7142857142857143,3707.037249580957,3.7787465126390627,0.0974999999999999,12.183458846287653,ETHUSDT_4h
6,36,14.0,60.0,12.0,7.0,2.4,0.6,0.1,6,3.0,4.0,8.2,1,risk_based,S,5.0,180.0,10000.0,26,0.8846153846153846,2081.573825018977,3.984003718458674,0.03000000000000004,11.806504338859401,ETHUSDT_15m
3,40,36.0,60.0,22.0,7.4,2.6,1.0,0.0,4,2.5,4.0,8.2,1,risk_based,S,5.0,180.0,10000.0,22,0.8181818181818182,2843.8800116948987,3.68305321966841,0.04755453969538078,11.7345955592183,ETHUSDT_15m
3,40,36.0,60.0,22.0,7.4,2.6,1.0,0.0,4,2.5,4.0,8.2,1,risk_based,S,5.0,180.0,10000.0,14,0.7857142857142857,2386.275413284011,4.035845776315545,0.07119865473652658,11.70294243027695,ETHUSDT_1h
4,44,34.0,66.0,20.0,6.8,2.2,1.2,0.2,5,3.0,5.0,8.4,1,risk_based,S,5.0,180.0,10000.0,19,0.6842105263157895,3509.1860430228644,3.436431684036789,0.0523204130131934,11.631403961530548,SOLUSDT_15m
6,28,36.0,64.0,18.0,6.8,2.2,0.8,0.1,2,2.5,3.0,8.4,1,risk_based,S,5.0,180.0,10000.0,10,0.8,1783.314844105209,4.2408825142878435,0.025000000000000005,11.590079872680896,ETHUSDT_4h
6,28,34.0,66.0,22.0,7.0,2.2,0.8,0.2,7,2.0,7.5,8.8,1,risk_based,S,5.0,180.0,10000.0,12,0.8333333333333334,1491.624253664173,4.2943204336278615,0.03507260797182209,11.46504729700443,ETHUSDT_4h
5,44,28.0,68.0,22.0,7.8,2.4,1.2,0.05,7,2.5,6.5,8.0,1,risk_based,S,5.0,180.0,10000.0,12,0.6666666666666666,3155.9515154890905,3.627936868236901,0.07186019831189057,11.43624465702722,SOLUSDT_15m
5,44,24.0,62.0,20.0,6.8,1.8,1.0,0.0,6,1.0,5.0,8.4,1,risk_based,S,5.0,180.0,10000.0,23,0.782608695652174,1498.7898514797944,4.172982844545262,0.014628987050304335,11.434781622897669,ETHUSDT_15m
4,28,38.0,70.0,20.0,7.2,2.2,0.6,0.2,3,1.5,5.0,8.8,1,risk_based,S,5.0,180.0,10000.0,19,0.8947368421052632,1128.7510010286624,4.310205546509331,0.026741132239420613,11.391043960486957,ETHUSDT_4h
6,36,32.0,70.0,12.0,6.8,2.6,1.2,0.05,8,2.5,4.0,7.6,1,risk_based,S,5.0,180.0,10000.0,21,0.7619047619047619,3738.8868060202767,3.15833669573334,0.07840000000000001,11.383217340344098,ETHUSDT_15m
4,44,16.0,66.0,16.0,8.0,2.6,1.0,0.05,4,2.0,4.5,8.6,1,risk_based,S,5.0,180.0,10000.0,24,0.7916666666666666,2426.2743062060727,3.6916862642790234,0.041530936124415,11.352554026390875,ETHUSDT_15m
6,32,16.0,68.0,12.0,7.8,2.6,1.0,0.2,4,1.0,3.5,7.8,1,risk_based,S,5.0,180.0,10000.0,14,0.7857142857142857,2763.736018064741,3.4990299758125265,0.10136787500000008,10.916263773261223,SOLUSDT_1h
6,40,28.0,60.0,14.0,7.4,2.4,0.8,0.1,5,2.5,3.5,7.6,1,risk_based,S,5.0,180.0,10000.0,20,0.85,2584.4407760259637,3.411555894636785,0.056197475559522404,10.913960138620968,ETHUSDT_15m
6,36,32.0,68.0,14.0,7.8,2.2,1.2,0.1,8,3.0,6.0,8.0,1,risk_based,S,5.0,180.0,10000.0,15,0.6,3848.298939993145,3.0359248657739553,0.07186019831189054,10.904568076605385,SOLUSDT_15m
4,40,28.0,64.0,22.0,7.4,1.6,0.8,0.1,3,2.0,4.0,8.0,1,risk_based,S,5.0,180.0,10000.0,20,0.75,4306.902619767865,2.6036619981799114,0.07840000000000001,10.804026616127686,ETHUSDT_4h
4,20,22.0,64.0,12.0,7.6,1.8,0.8,0.0,4,3.0,6.0,8.4,1,risk_based,S,5.0,180.0,10000.0,17,0.7647058823529411,3229.916411594979,3.1201912202479933,0.059099999999999986,10.780057675620377,ETHUSDT_4h
5,36,20.0,70.0,16.0,7.2,2.6,1.0,0.2,5,2.0,3.0,7.6,1,risk_based,S,5.0,180.0,10000.0,22,0.7727272727272727,2686.8381727150645,3.27269744371025,0.049235166166665255,10.683618470726477,ETHUSDT_15m
5,24,14.0,62.0,20.0,6.8,1.6,1.2,0.0,8,3.0,4.0,7.8,1,risk_based,S,5.0,180.0,10000.0,19,0.7368421052631579,3869.2364907299507,2.7695795989323333,0.07840000000000003,10.658458846489353,SOLUSDT_1h
6,36,26.0,64.0,14.0,7.0,2.4,1.2,0.0,8,1.0,3.5,7.8,1,risk_based,S,5.0,180.0,10000.0,19,0.8421052631578947,2731.016185852466,3.2628126377396773,0.08048395164747212,10.658347501126247,ETHUSDT_15m
4,44,16.0,66.0,16.0,8.0,2.6,1.0,0.05,4,2.0,4.5,8.6,1,risk_based,S,5.0,180.0,10000.0,21,0.6666666666666666,3033.958520050044,3.141414455587655,0.06870512861648748,10.53067204537589,SOLUSDT_1h
6,32,30.0,62.0,22.0,8.0,2.6,1.2,0.15,8,1.0,3.5,8.0,1,risk_based,S,5.0,180.0,10000.0,12,0.5833333333333334,3129.269949724059,3.141947840825197,0.0572053593378678,10.356549553360852,SOLUSDT_15m
6,36,26.0,64.0,14.0,7.0,2.4,1.2,0.0,8,1.0,3.5,7.8,1,risk_based,S,5.0,180.0,10000.0,7,0.7142857142857143,2146.255990603775,3.593536714201862,0.06877500000000013,10.33843299043607,ETHUSDT_4h
6,24,18.0,70.0,20.0,8.0,1.6,0.8,0.0,5,1.5,6.5,8.6,1,risk_based,S,5.0,180.0,10000.0,22,0.8181818181818182,1581.311300090123,3.562019860694895,0.02076034379314017,10.310342717373219,ETHUSDT_15m
4,40,24.0,60.0,14.0,6.6,2.0,1.2,0.1,2,1.5,7.5,8.6,1,risk_based,S,5.0,180.0,10000.0,28,0.7142857142857143,2353.8014188809666,3.200250850269295,0.04453382665591782,10.252130210880376,ETHUSDT_15m
6,28,26.0,70.0,16.0,7.0,1.8,1.2,0.15,7,1.5,7.5,8.4,1,risk_based,S,5.0,180.0,10000.0,15,0.8,1255.005931651258,3.753742679031358,0.04432837499999994,10.129506164713975,SOLUSDT_1h
4,32,36.0,62.0,16.0,7.6,2.2,1.0,0.15,7,3.0,5.5,8.0,1,risk_based,S,5.0,180.0,10000.0,25,0.8,3263.4676155952147,2.5508843210998515,0.07918980856932376,9.827666832086948,ETHUSDT_15m
6,40,28.0,64.0,22.0,7.8,2.4,0.6,0.15,2,2.0,5.0,8.0,1,risk_based,S,5.0,180.0,10000.0,22,0.8181818181818182,2546.102377185758,2.8719226435175025,0.05000000000000008,9.80722039149349,ETHUSDT_15m
5,28,24.0,68.0,12.0,7.0,1.8,0.8,0.15,7,1.5,4.5,7.6,1,risk_based,S,5.0,180.0,10000.0,25,0.84,2510.2386668668823,2.7785243304722216,0.04500000000000006,9.692287327811325,ETHUSDT_15m
6,40,28.0,60.0,14.0,7.4,2.4,0.8,0.1,5,2.5,3.5,7.6,1,risk_based,S,5.0,180.0,10000.0,9,0.7777777777777778,1877.809276660375,3.3204298444561116,0.06877500000000004,9.659010632239264,ETHUSDT_4h
3,40,36.0,60.0,22.0,7.4,2.6,1.0,0.0,4,2.5,4.0,8.2,1,risk_based,S,5.0,180.0,10000.0,15,0.7333333333333333,2381.3072683551054,3.0052830197475715,0.04937500000000006,9.643748307850249,ETHUSDT_4h
4,24,14.0,70.0,14.0,7.8,2.0,1.0,0.0,8,2.0,5.5,8.6,1,risk_based,S,5.0,180.0,10000.0,25,0.8,2104.57686036855,2.983910086122079,0.058807999999999985,9.595973032612708,ETHUSDT_15m
3,20,20.0,62.0,20.0,6.6,2.4,0.8,0.2,5,1.5,6.5,8.4,1,risk_based,S,5.0,180.0,10000.0,21,0.7619047619047619,1844.851914615865,3.147483741406721,0.051359376953751444,9.548598409425194,ETHUSDT_1h
4,40,32.0,68.0,18.0,7.2,2.2,1.2,0.05,2,1.0,8.0,8.2,1,risk_based,S,5.0,180.0,10000.0,17,0.6470588235294118,1453.47438679291,3.4303783551252893,0.039295803081042385,9.506931923094479,SOLUSDT_1h
6,40,40.0,66.0,12.0,8.0,2.0,1.2,0.1,4,1.0,4.0,8.0,1,risk_based,S,5.0,180.0,10000.0,13,0.6923076923076923,3489.9086558557137,2.5751963105882085,0.15065343999999994,9.486802495493668,ETHUSDT_4h
6,28,26.0,70.0,16.0,7.0,1.8,1.2,0.15,7,1.5,7.5,8.4,1,risk_based,S,5.0,180.0,10000.0,23,0.782608695652174,1587.446832648935,3.139276765449813,0.04183531957207874,9.374407448310588,ETHUSDT_15m
3,36,16.0,66.0,22.0,7.6,2.0,0.8,0.1,3,2.0,6.0,7.8,1,risk_based,S,5.0,180.0,10000.0,28,0.8214285714285714,2381.589053643138,2.685700808286468,0.05891373647030167,9.368392317948027,ETHUSDT_15m
6,32,16.0,68.0,12.0,7.8,2.6,1.0,0.2,4,1.0,3.5,7.8,1,risk_based,S,5.0,180.0,10000.0,23,0.8260869565217391,2221.670050708186,2.7952807684824887,0.06432023071885976,9.318401330299196,ETHUSDT_15m
4,28,38.0,62.0,20.0,6.6,2.4,1.0,0.15,2,1.0,5.5,8.8,1,risk_based,S,5.0,180.0,10000.0,17,0.6470588235294118,1394.6576423531878,3.319979957316874,0.039017751990981384,9.228152536308109,SOLUSDT_1h
5,40,34.0,70.0,12.0,7.0,2.4,0.8,0.05,5,2.5,5.0,8.6,1,risk_based,S,5.0,180.0,10000.0,23,0.782608695652174,2281.6088288472274,2.7171721165757834,0.044980621815757106,9.214924240029786,ETHUSDT_15m
6,40,40.0,68.0,16.0,6.6,1.6,1.0,0.05,6,2.0,3.0,7.6,1,risk_based,S,5.0,180.0,10000.0,18,0.7222222222222222,2416.435520738969,2.7556000162588847,0.06408409086089298,9.178716614007394,ETHUSDT_1h
5,28,24.0,68.0,12.0,7.0,1.8,0.8,0.15,7,1.5,4.5,7.6,1,risk_based,S,5.0,180.0,10000.0,20,0.85,2418.9881261307382,2.6642680301840147,0.08797499999999997,9.158599186498767,SOLUSDT_1h
5,44,40.0,60.0,14.0,7.8,2.0,1.0,0.05,3,2.0,3.5,7.6,1,risk_based,S,5.0,180.0,10000.0,17,0.7647058823529411,2520.5815996515284,2.7728360057979393,0.13281999937499991,9.154852436651819,SOLUSDT_1h
6,32,36.0,62.0,12.0,7.2,1.6,1.0,0.2,8,1.0,7.5,8.8,1,risk_based,S,5.0,180.0,10000.0,16,0.8125,750.7884894298095,3.448832711998698,0.02970099999999995,9.098100913427206,SOLUSDT_1h
6,40,40.0,66.0,12.0,8.0,2.0,1.2,0.1,4,1.0,4.0,8.0,1,risk_based,S,5.0,180.0,10000.0,20,0.65,3014.3912747404484,2.44618823909142,0.062090305662542,9.095496835935663,SOLUSDT_15m
4,24,30.0,66.0,14.0,7.8,1.8,1.0,0.15,3,1.0,6.5,8.8,1,risk_based,S,5.0,180.0,10000.0,17,0.6470588235294118,1428.2900357714243,3.1918908594509023,0.029701000000000026,9.033556989967346,ETHUSDT_4h
4,24,40.0,62.0,14.0,7.8,1.6,0.8,0.1,8,2.5,8.0,8.8,1,risk_based,S,5.0,180.0,10000.0,19,0.6842105263157895,2720.745778872506,2.5133545782959295,0.049375000000000016,9.00564572493805,ETHUSDT_4h
6,44,22.0,60.0,12.0,7.6,1.8,1.0,0.05,7,2.5,7.0,8.6,1,risk_based,S,5.0,180.0,10000.0,15,0.8,1580.7037579121752,3.0674899898596606,0.07314062500000006,8.996261862631497,SOLUSDT_1h
3,40,30.0,62.0,16.0,6.6,1.6,1.0,0.05,7,2.5,3.5,8.8,1,risk_based,S,5.0,180.0,10000.0,31,0.7741935483870968,2180.794640565726,2.566016382074898,0.04156249509047396,8.969430242024746,ETHUSDT_15m
4,40,32.0,68.0,18.0,7.2,2.2,1.2,0.05,2,1.0,8.0,8.2,1,risk_based,S,5.0,180.0,10000.0,25,0.72,1380.9824887428495,3.0365834433221135,0.027953675857810077,8.950288347813647,ETHUSDT_15m
5,44,24.0,62.0,20.0,6.8,1.8,1.0,0.0,6,1.0,5.0,8.4,1,risk_based,S,5.0,180.0,10000.0,17,0.7058823529411765,1132.5225351773515,3.205237629206807,0.019899999999999956,8.88212132300273,SOLUSDT_4h
4,32,36.0,62.0,16.0,7.6,2.2,1.0,0.15,7,3.0,5.5,8.0,1,risk_based,S,5.0,180.0,10000.0,23,0.6956521739130435,3466.643687642001,2.231863234762331,0.18492682765934312,8.879067935058199,SOLUSDT_1h
6,28,36.0,64.0,18.0,6.8,2.2,0.8,0.1,2,2.5,3.0,8.4,1,risk_based,S,5.0,180.0,10000.0,23,0.782608695652174,1785.1159984772585,2.8076791867035333,0.05363821749846091,8.873472762867205,ETHUSDT_15m
4,44,34.0,64.0,20.0,8.0,2.6,0.8,0.1,5,1.0,5.0,7.8,1,risk_based,S,5.0,180.0,10000.0,16,0.75,3361.0364327749157,2.1779829938310487,0.09629104407496217,8.873129288212127,ETHUSDT_4h
6,40,40.0,68.0,16.0,6.6,1.6,1.0,0.05,6,2.0,3.0,7.6,1,risk_based,S,5.0,180.0,10000.0,24,0.7916666666666666,2095.1632433401337,2.6134624593968945,0.04507179301534364,8.854372783087893,ETHUSDT_15m
5,44,40.0,60.0,14.0,7.8,2.0,1.0,0.05,3,2.0,3.5,7.6,1,risk_based,S,5.0,180.0,10000.0,20,0.8,2242.806509229311,2.573120789169574,0.055625629294871054,8.822171199683847,ETHUSDT_15m
3,40,40.0,68.0,16.0,6.8,1.8,1.0,0.0,2,3.0,4.0,8.0,1,risk_based,S,5.0,180.0,10000.0,20,0.75,2644.9191094496455,2.44658482402981,0.08939956863888059,8.794890051592622,SOLUSDT_1h
3,44,34.0,64.0,20.0,6.6,1.8,1.2,0.2,7,2.5,5.0,7.8,1,risk_based,S,5.0,180.0,10000.0,27,0.5185185185185185,3805.394828175078,2.0360334500192225,0.13886845587786067,8.778634138357717,BTCUSDT_1h
5,32,24.0,60.0,12.0,8.0,2.4,0.6,0.0,6,1.5,7.0,8.0,1,risk_based,S,5.0,180.0,10000.0,22,0.8636363636363636,1812.3637911253209,2.713080341935677,0.06733796745488305,8.77196511808657,ETHUSDT_15m
5,32,26.0,66.0,22.0,6.6,2.6,0.6,0.0,5,2.0,3.5,7.8,1,risk_based,S,5.0,180.0,10000.0,25,0.76,2458.5606646426604,2.370981815493142,0.057205359337867696,8.668908217615341,SOLUSDT_15m
5,32,26.0,66.0,22.0,6.6,2.6,0.6,0.0,5,2.0,3.5,7.8,1,risk_based,S,5.0,180.0,10000.0,20,0.7,1952.9743570272512,2.697715587431414,0.059705217502803436,8.61928987938167,BTCUSDT_15m
6,36,32.0,70.0,18.0,7.6,1.6,1.2,0.1,3,2.5,4.5,8.0,1,risk_based,S,5.0,180.0,10000.0,19,0.6842105263157895,2704.005949869832,2.3545548069662434,0.06697525198721632,8.618505597314355,SOLUSDT_15m
4,24,30.0,66.0,14.0,7.8,1.8,1.0,0.15,3,1.0,6.5,8.8,1,risk_based,S,5.0,180.0,10000.0,28,0.7857142857142857,1171.7836334203948,2.8974425253921288,0.03420976880108698,8.602610806372821,ETHUSDT_15m
6,32,36.0,62.0,12.0,7.2,1.6,1.0,0.2,8,1.0,7.5,8.8,1,risk_based,S,5.0,180.0,10000.0,22,0.8181818181818182,851.7648367970523,3.0575886038604136,0.012830577903999881,8.595723038078606,ETHUSDT_15m
6,32,24.0,68.0,18.0,7.8,1.6,0.8,0.15,5,3.0,3.0,8.8,1,risk_based,S,5.0,180.0,10000.0,22,0.8636363636363636,1554.8485384102441,2.720180198869164,0.04703588805054848,8.58955581745147,ETHUSDT_15m
4,40,22.0,62.0,14.0,7.0,1.6,0.6,0.05,5,3.0,3.5,8.2,1,risk_based,S,5.0,180.0,10000.0,22,0.7272727272727273,2722.48880245741,2.230209987675806,0.05910000000000009,8.53651786871811,ETHUSDT_4h
