structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
5,27,24.0,64.0,16.0,7.8,2.2,1.2,0.1,2,2.0,3.0,8.0,1,risk_based,I,5.0,130.0,10000.0,1,1.0,559.8308149948098,10.0,0.0,22.07983081499481
3,18,20.0,66.0,16.0,7.2,1.8,1.2,0.1,4,1.2,4.5,8.0,1,risk_based,I,5.0,130.0,10000.0,3,1.0,485.2519810046215,10.0,0.0,22.045251981004622
5,30,14.0,66.0,14.0,6.8,2.6,1.4,0.05,6,2.0,3.5,8.8,1,risk_based,I,5.0,130.0,10000.0,1,1.0,520.0,10.0,0.0,22.04
3,27,26.0,60.0,20.0,8.0,2.6,0.8,0.0,3,1.6,2.0,7.8,1,risk_based,I,5.0,130.0,10000.0,1,1.0,520.0,10.0,0.0,22.04
5,30,20.0,60.0,14.0,7.0,1.8,0.8,0.05,2,1.4,2.5,8.0,1,risk_based,I,5.0,130.0,10000.0,1,1.0,450.0,10.0,0.0,21.97
4,33,16.0,66.0,20.0,7.6,1.8,0.8,0.1,4,2.0,3.5,8.8,1,risk_based,I,5.0,130.0,10000.0,3,1.0,379.3260328432734,10.0,0.0,21.939326032843272
4,33,20.0,62.0,22.0,8.0,2.6,1.4,0.1,5,1.6,2.5,8.8,1,risk_based,I,5.0,130.0,10000.0,1,1.0,416.0,10.0,0.0,21.936
4,24,30.0,64.0,20.0,7.6,2.2,1.0,0.15,2,1.6,3.0,8.4,1,risk_based,I,5.0,130.0,10000.0,1,1.0,352.0,10.0,0.0,21.872
3,21,20.0,62.0,20.0,7.4,2.4,1.0,0.0,3,1.4,5.0,8.2,1,risk_based,I,5.0,130.0,10000.0,1,1.0,336.0,10.0,0.0,21.855999999999998
5,36,12.0,66.0,24.0,7.4,2.0,0.8,0.2,2,1.0,4.0,8.2,1,risk_based,I,5.0,130.0,10000.0,2,1.0,212.80934011813588,10.0,0.0,21.752809340118134
2,21,22.0,66.0,20.0,6.8,1.8,1.2,0.2,6,1.0,2.0,8.0,1,risk_based,I,5.0,130.0,10000.0,3,0.6666666666666666,173.6527626242205,1.836374659831813,0.019999999999999952,4.846402082287846
3,21,22.0,58.0,18.0,7.6,2.4,1.4,0.1,3,1.4,3.5,8.0,1,risk_based,I,5.0,130.0,10000.0,0,0.0,0.0,0.0,0.0,0.0
5,30,18.0,60.0,16.0,8.2,1.8,1.0,0.0,4,1.6,4.0,8.4,1,risk_based,I,5.0,130.0,10000.0,0,0.0,0.0,0.0,0.0,0.0
2,27,18.0,58.0,22.0,7.4,2.6,1.2,0.2,4,1.0,2.5,8.0,1,risk_based,I,5.0,130.0,10000.0,0,0.0,0.0,0.0,0.0,0.0
5,21,18.0,60.0,14.0,8.2,2.0,1.0,0.1,2,1.6,5.0,8.4,1,risk_based,I,5.0,130.0,10000.0,0,0.0,0.0,0.0,0.0,0.0
2,33,18.0,64.0,18.0,8.2,2.6,0.8,0.05,2,1.4,4.0,8.8,1,risk_based,I,5.0,130.0,10000.0,0,0.0,0.0,0.0,0.0,0.0
3,36,14.0,62.0,16.0,8.0,2.8,1.0,0.2,6,1.4,3.0,7.8,1,risk_based,I,5.0,130.0,10000.0,0,0.0,0.0,0.0,0.0,0.0
4,18,22.0,64.0,24.0,8.2,2.8,1.2,0.15,3,1.0,4.5,8.6,1,risk_based,I,5.0,130.0,10000.0,0,0.0,0.0,0.0,0.0,0.0
4,27,12.0,58.0,18.0,7.2,2.2,1.2,0.0,2,1.4,5.0,8.0,1,risk_based,I,5.0,130.0,10000.0,0,0.0,0.0,0.0,0.0,0.0
3,24,18.0,58.0,20.0,6.8,2.6,1.0,0.15,6,1.2,3.5,8.2,1,risk_based,I,5.0,130.0,10000.0,0,0.0,0.0,0.0,0.0,0.0
