structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
4,44,40.0,66.0,16.0,7.6,2.6,0.6,0.15,3,1.5,8.0,8.0,1,risk_based,S,5.0,180.0,10000.0,3,1.0,974.0317870211238,10.0,0.0,22.53403178702112
5,32,18.0,68.0,18.0,7.2,1.8,1.2,0.15,2,1.5,6.5,8.0,1,risk_based,S,5.0,180.0,10000.0,2,1.0,909.4179899979517,10.0,0.0,22.44941798999795
4,32,30.0,66.0,12.0,7.2,2.6,1.0,0.2,7,3.0,4.5,8.2,1,risk_based,S,5.0,180.0,10000.0,2,1.0,816.6432205069632,10.0,0.0,22.356643220506964
3,44,28.0,64.0,18.0,6.8,2.0,0.6,0.2,4,2.0,6.5,7.8,1,risk_based,S,5.0,180.0,10000.0,2,1.0,743.2190004698077,10.0,0.0,22.283219000469806
6,44,28.0,68.0,22.0,7.6,2.4,1.0,0.15,6,2.0,4.0,7.6,1,risk_based,S,5.0,180.0,10000.0,1,1.0,750.9305475012698,10.0,0.0,22.27093054750127
3,36,20.0,60.0,22.0,7.4,2.4,0.8,0.2,5,3.0,3.0,8.2,1,risk_based,S,5.0,180.0,10000.0,1,1.0,720.0,10.0,0.0,22.24
4,40,18.0,66.0,18.0,7.0,2.6,1.2,0.1,3,2.5,7.0,8.8,1,risk_based,S,5.0,180.0,10000.0,1,1.0,650.0,10.0,0.0,22.169999999999998
6,32,32.0,68.0,18.0,7.2,1.8,0.6,0.2,6,3.0,6.5,8.8,1,risk_based,S,5.0,180.0,10000.0,2,1.0,576.3811008766479,10.0,0.0,22.116381100876648
5,36,16.0,62.0,16.0,6.8,2.2,1.2,0.2,6,2.5,4.0,8.8,1,risk_based,S,5.0,180.0,10000.0,1,1.0,550.0,10.0,0.0,22.07
6,36,34.0,68.0,18.0,6.8,2.0,1.2,0.2,8,2.5,8.0,8.2,1,risk_based,S,5.0,180.0,10000.0,1,1.0,500.0,10.0,0.0,22.02
6,44,32.0,66.0,16.0,7.0,1.6,1.2,0.1,3,3.0,8.0,8.8,1,risk_based,S,5.0,180.0,10000.0,1,1.0,480.0,10.0,0.0,22.0
3,44,36.0,70.0,20.0,7.2,2.2,1.0,0.15,6,2.0,6.5,8.2,1,risk_based,S,5.0,180.0,10000.0,2,1.0,453.1174515345483,10.0,0.0,21.993117451534548
3,40,30.0,64.0,22.0,7.6,2.6,0.6,0.1,2,1.0,3.0,8.6,1,risk_based,S,5.0,180.0,10000.0,2,1.0,264.78003081155293,10.0,0.0,21.804780030811553
6,20,18.0,66.0,16.0,6.8,1.8,0.8,0.15,4,1.0,6.5,8.6,1,risk_based,S,5.0,180.0,10000.0,2,1.0,185.5469887446834,10.0,0.0,21.725546988744682
5,36,40.0,62.0,20.0,7.0,2.0,0.6,0.15,2,1.0,4.5,8.8,1,risk_based,S,5.0,180.0,10000.0,1,1.0,200.0,10.0,0.0,21.72
5,20,18.0,62.0,22.0,6.6,2.0,0.8,0.2,5,1.0,6.0,8.4,1,risk_based,S,5.0,180.0,10000.0,1,1.0,200.0,10.0,0.0,21.72
3,44,30.0,64.0,14.0,7.0,1.8,1.2,0.0,6,1.0,7.0,7.6,1,risk_based,S,5.0,180.0,10000.0,3,0.6666666666666666,223.35326722206628,1.5436229050575294,0.03863573422029073,4.2546918746762525
6,28,40.0,68.0,18.0,7.6,2.2,0.6,0.0,8,1.5,3.0,8.8,1,risk_based,S,5.0,180.0,10000.0,1,1.0,0.0,0.0,0.0,1.52
6,40,38.0,60.0,16.0,6.6,2.4,1.0,0.15,8,2.0,3.0,8.4,1,risk_based,S,5.0,180.0,10000.0,0,0.0,0.0,0.0,0.0,0.0
6,24,32.0,60.0,14.0,7.2,2.6,1.2,0.2,7,1.0,6.0,8.4,1,risk_based,S,5.0,180.0,10000.0,0,0.0,0.0,0.0,0.0,0.0
