profile,bucket,rank,structure_swing_len,retest_window_bars,retest_bps,chop_ci_max,chop_adx_min,trigger_score,rr_target,be_trigger_r,be_offset_pct,cooldown_bars,risk_pct_low_conf,risk_pct_high_conf,high_conf_score_threshold,be_enabled,sizing_mode,profile_risk_cap_pct,max_notional_pct,initial_equity,trades,win_rate,net_pnl,pf,max_dd,score
C,top10,1,4,18,10.0,66.0,20.0,7.0,2.0,0.8,0.1,2,0.4,1.2,7.8,1,risk_based,1.0,100.0,10000.0,2,1.0,204.27196697485306,10.0,0.0,21.744271966974853
C,top10,2,4,18,22.0,62.0,24.0,7.4,2.2,1.2,0.0,2,0.8,1.0,7.8,1,risk_based,1.0,100.0,10000.0,1,1.0,220.0,10.0,0.0,21.74
C,top10,3,4,28,16.0,64.0,18.0,7.8,2.2,1.0,0.1,4,1.0,1.2,7.8,1,risk_based,1.0,100.0,10000.0,1,1.0,220.0,10.0,0.0,21.74
C,top10,4,4,18,12.0,66.0,22.0,8.0,1.8,1.2,0.0,3,1.0,0.8,8.2,1,risk_based,1.0,100.0,10000.0,2,1.0,180.0,10.0,0.0,21.72
C,top10,5,3,28,18.0,66.0,24.0,7.0,2.2,0.8,0.0,2,0.8,1.2,8.2,1,risk_based,1.0,100.0,10000.0,2,1.0,176.0,10.0,0.0,21.715999999999998
C,top10,6,3,26,14.0,60.0,20.0,7.0,2.2,1.2,0.1,2,0.6,0.8,8.0,1,risk_based,1.0,100.0,10000.0,1,1.0,176.0,10.0,0.0,21.695999999999998
C,top10,7,3,28,14.0,62.0,16.0,7.8,2.2,1.2,0.0,2,0.8,0.8,8.0,1,risk_based,1.0,100.0,10000.0,1,1.0,176.0,10.0,0.0,21.695999999999998
C,top10,8,3,30,24.0,58.0,22.0,6.8,2.0,1.0,0.0,5,0.8,1.2,8.2,1,risk_based,1.0,100.0,10000.0,1,1.0,160.0,10.0,0.0,21.68
C,top10,9,3,20,10.0,64.0,20.0,7.4,1.8,0.8,0.05,4,0.6,0.6,8.0,1,risk_based,1.0,100.0,10000.0,3,1.0,110.97003840418984,10.0,0.0,21.67097003840419
C,top10,10,3,22,12.0,62.0,24.0,6.8,1.8,1.2,0.1,2,0.4,0.8,8.0,1,risk_based,1.0,100.0,10000.0,1,1.0,144.0,10.0,0.0,21.663999999999998
C,safe,1,4,18,22.0,62.0,24.0,7.4,2.2,1.2,0.0,2,0.8,1.0,7.8,1,risk_based,1.0,100.0,10000.0,1,1.0,220.0,10.0,0.0,21.74
C,safe,2,4,28,16.0,64.0,18.0,7.8,2.2,1.0,0.1,4,1.0,1.2,7.8,1,risk_based,1.0,100.0,10000.0,1,1.0,220.0,10.0,0.0,21.74
C,safe,3,4,18,10.0,66.0,20.0,7.0,2.0,0.8,0.1,2,0.4,1.2,7.8,1,risk_based,1.0,100.0,10000.0,2,1.0,204.27196697485306,10.0,0.0,21.744271966974853
I,top10,1,5,27,24.0,64.0,16.0,7.8,2.2,1.2,0.1,2,2.0,3.0,8.0,1,risk_based,5.0,130.0,10000.0,1,1.0,559.8308149948098,10.0,0.0,22.07983081499481
I,top10,2,3,18,20.0,66.0,16.0,7.2,1.8,1.2,0.1,4,1.2,4.5,8.0,1,risk_based,5.0,130.0,10000.0,3,1.0,485.2519810046215,10.0,0.0,22.045251981004622
I,top10,3,5,30,14.0,66.0,14.0,6.8,2.6,1.4,0.05,6,2.0,3.5,8.8,1,risk_based,5.0,130.0,10000.0,1,1.0,520.0,10.0,0.0,22.04
I,top10,4,3,27,26.0,60.0,20.0,8.0,2.6,0.8,0.0,3,1.6,2.0,7.8,1,risk_based,5.0,130.0,10000.0,1,1.0,520.0,10.0,0.0,22.04
I,top10,5,5,30,20.0,60.0,14.0,7.0,1.8,0.8,0.05,2,1.4,2.5,8.0,1,risk_based,5.0,130.0,10000.0,1,1.0,450.0,10.0,0.0,21.97
I,top10,6,4,33,16.0,66.0,20.0,7.6,1.8,0.8,0.1,4,2.0,3.5,8.8,1,risk_based,5.0,130.0,10000.0,3,1.0,379.3260328432734,10.0,0.0,21.939326032843272
I,top10,7,4,33,20.0,62.0,22.0,8.0,2.6,1.4,0.1,5,1.6,2.5,8.8,1,risk_based,5.0,130.0,10000.0,1,1.0,416.0,10.0,0.0,21.936
I,top10,8,4,24,30.0,64.0,20.0,7.6,2.2,1.0,0.15,2,1.6,3.0,8.4,1,risk_based,5.0,130.0,10000.0,1,1.0,352.0,10.0,0.0,21.872
I,top10,9,3,21,20.0,62.0,20.0,7.4,2.4,1.0,0.0,3,1.4,5.0,8.2,1,risk_based,5.0,130.0,10000.0,1,1.0,336.0,10.0,0.0,21.855999999999998
I,top10,10,5,36,12.0,66.0,24.0,7.4,2.0,0.8,0.2,2,1.0,4.0,8.2,1,risk_based,5.0,130.0,10000.0,2,1.0,212.80934011813588,10.0,0.0,21.752809340118134
